date,pcod_from,pcod_to,travellers,abnormality,travellers_diffwithref,travellers_pctchangewithref
2020-02-01,HT0111-01,HT0345-01,80,0.27,0.24,0.19
2020-02-01,HT0111-01,HT0351-01,90,-0.51,-0.56,-0.39
2020-02-01,HT0111-01,HT0351-03,110,-0.34,-0.53,-0.32
2020-02-01,HT0111-01,HT0351-07,130,-0.4,-0.72,-0.39
2020-02-01,HT0111-01,HT0352-02,160,-0.34,-0.68,-0.26
2020-02-01,HT0111-01,HT0352-03,60,0.13,0.1,0.13
2020-02-01,HT0111-01,HT0352-05,70,-0.29,-0.25,-0.26
2020-02-01,HT0111-01,HT0352-06,80,-0.22,-0.27,-0.19
2020-02-01,HT0111-01,HT0361-03,80,0.13,0.13,0.13
2020-02-01,HT0111-01,HT0361-04,190,0,0,0
2020-02-01,HT0111-01,HT0361-05,520,-0.06,-0.38,-0.06
2020-02-01,HT0111-01,HT0362-02,160,-0.4,-0.76,-0.32
2020-02-01,HT0111-01,HT0371-01,60,0.45,0.38,0.39
2020-02-01,HT0111-01,HT0371-05,60,-0.45,-0.42,-0.45
2020-02-01,HT0111-01,HT0371-07,220,0.25,0.65,0.19
2020-02-01,HT0111-01,HT0371-08,90,-0.11,-0.11,-0.06
2020-02-01,HT0111-01,HT0372-01,150,-0.4,-0.69,-0.26
2020-02-01,HT0111-01,HT0372-08,70,-0.48,-0.39,-0.39
2020-02-01,HT0111-01,HT0411-01,80,0,0,0
2020-02-01,HT0111-01,HT0421-01,230,-0.21,-0.55,-0.06
2020-02-01,HT0111-01,HT0423-01,60,-0.17,-0.15,-0.1
2020-02-01,HT0111-01,HT0431-03,140,-0.3,-0.47,-0.1
2020-02-01,HT0111-01,HT0433-01,60,-0.22,-0.18,-0.1
2020-02-01,HT0111-01,HT0443-02,70,-0.17,-0.14,-0.06
2020-02-01,HT0111-01,HT0511-01,820,-0.05,-0.44,-0.04
2020-02-01,HT0111-01,HT0511-02,360,-0.08,-0.35,-0.04
2020-02-01,HT0111-01,HT0511-03,110,0,0,0
2020-02-01,HT0111-01,HT0511-04,60,-0.56,-0.38,-0.22
2020-02-01,HT0111-01,HT0512-01,90,0.25,0.26,0.11
2020-02-01,HT0111-01,HT0512-02,80,-0.39,-0.34,-0.15
2020-02-01,HT0111-01,HT0512-04,60,0.08,0.06,0.04
2020-02-01,HT0111-01,HT0513-01,140,0.4,0.65,0.18
2020-02-01,HT0111-01,HT0513-02,70,-0.19,-0.15,-0.07
2020-02-01,HT0111-01,HT0521-02,60,0.34,0.3,0.18
2020-02-01,HT0111-01,HT0521-03,190,-0.26,-0.58,-0.11
2020-02-01,HT0111-01,HT0521-04,60,0,0,0
2020-02-01,HT0111-01,HT0521-06,90,0.54,0.58,0.26
2020-02-01,HT0111-01,HT0521-07,60,-0.17,-0.14,-0.07
2020-02-01,HT0111-01,HT0521-08,70,0.45,0.38,0.22
2020-02-01,HT0111-01,HT0523-02,240,0,0,0
2020-02-01,HT0111-01,HT0531-01,100,0.13,0.14,0.04
2020-02-01,HT0111-01,HT0531-02,230,-0.05,-0.13,-0.04
2020-02-01,HT0111-01,HT0531-04,80,-0.56,-0.51,-0.26
2020-02-01,HT0111-01,HT0531-05,230,-0.18,-0.5,-0.07
2020-02-01,HT0111-01,HT0531-06,410,-0.17,-0.81,-0.07
2020-02-01,HT0111-01,HT0532-01,200,-0.06,-0.12,-0.04
2020-02-01,HT0111-01,HT0532-02,150,-0.3,-0.51,-0.11
2020-02-01,HT0111-01,HT0532-03,110,0.22,0.27,0.07
2020-02-01,HT0111-01,HT0532-04,210,-0.34,-0.77,-0.15
2020-02-01,HT0111-01,HT0532-05,150,0.07,0.12,0.04
2020-02-01,HT0111-01,HT0532-06,70,-0.84,-0.88,-0.44
2020-02-01,HT0111-01,HT0533-01,200,-0.21,-0.49,-0.07
2020-02-01,HT0111-01,HT0533-02,110,-0.1,-0.13,-0.04
2020-02-01,HT0111-01,HT0541-01,130,0,0,0
2020-02-01,HT0111-01,HT0541-02,140,0,0,0
2020-02-01,HT0111-01,HT0541-03,320,-0.09,-0.33,-0.04
2020-02-01,HT0111-01,HT0541-04,130,0.19,0.26,0.07
2020-02-01,HT0111-01,HT0541-05,90,-0.4,-0.42,-0.18
2020-02-01,HT0111-01,HT0542-01,200,0.11,0.26,0.04
2020-02-01,HT0111-01,HT0542-02,80,0.11,0.1,0.04
2020-02-01,HT0111-01,HT0542-03,390,0.05,0.22,0.04
2020-02-01,HT0111-01,HT0542-04,210,-0.22,-0.54,-0.11
2020-02-01,HT0111-01,HT0542-05,110,-0.13,-0.18,-0.07
2020-02-01,HT0111-01,HT0542-06,120,-0.26,-0.42,-0.11
2020-02-01,HT0111-01,HT0543-01,90,0.11,0.13,0.04
2020-02-01,HT0111-01,HT0544-01,160,0.3,0.53,0.11
2020-02-01,HT0111-01,HT0551-01,160,0.06,0.12,0.04
2020-02-01,HT0111-01,HT0551-03,150,0.07,0.12,0.04
2020-02-01,HT0111-01,HT0551-04,100,0,0,0
2020-02-01,HT0111-01,HT0551-05,70,0.27,0.29,0.15
2020-02-01,HT0111-01,HT0551-06,90,-0.34,-0.37,-0.15
2020-02-01,HT0111-01,HT0551-07,110,0.29,0.39,0.15
2020-02-01,HT0111-01,HT0551-08,150,-0.3,-0.58,-0.15
2020-02-01,HT0111-01,HT0552-01,100,-0.22,-0.27,-0.11
2020-02-01,HT0111-01,HT0611-01,250,0,0,0
2020-02-01,HT0111-01,HT0611-02,60,0.34,0.26,0.12
2020-02-01,HT0111-01,HT0611-03,90,0.13,0.14,0.06
2020-02-01,HT0111-01,HT0611-04,100,-0.45,-0.54,-0.18
2020-02-01,HT0111-01,HT0612-01,170,-0.17,-0.32,-0.06
2020-02-01,HT0111-01,HT0612-03,70,-0.27,-0.25,-0.09
2020-02-01,HT0111-01,HT0613-01,100,0.19,0.24,0.06
2020-02-01,HT0111-01,HT0613-04,60,0.27,0.19,0.09
2020-02-01,HT0111-01,HT0614-01,90,-0.11,-0.13,-0.03
2020-02-01,HT0111-01,HT0621-01,170,-0.16,-0.31,-0.06
2020-02-01,HT0111-01,HT0621-03,70,-0.56,-0.49,-0.21
2020-02-01,HT0111-01,HT0621-04,340,-0.11,-0.44,-0.03
2020-02-01,HT0111-01,HT0622-01,90,0.22,0.22,0.06
2020-02-01,HT0111-01,HT0622-02,80,-0.27,-0.24,-0.09
2020-02-01,HT0111-01,HT0622-03,80,-0.2,-0.18,-0.06
2020-02-01,HT0111-01,HT0623-01,60,-0.13,-0.09,-0.06
2020-02-01,HT0111-01,HT0623-02,130,0.22,0.32,0.06
2020-02-01,HT0111-01,HT0623-03,120,-0.34,-0.47,-0.12
2020-02-01,HT0111-01,HT0631-01,60,-0.45,-0.32,-0.15
2020-02-01,HT0111-01,HT0631-02,110,0.19,0.24,0.06
2020-02-01,HT0111-01,HT0632-01,150,-0.22,-0.4,-0.09
2020-02-01,HT0111-01,HT0632-02,60,-0.22,-0.18,-0.09
2020-02-01,HT0111-01,HT0632-03,60,0.45,0.33,0.15
2020-02-01,HT0111-01,HT0633-02,80,-0.4,-0.37,-0.12
2020-02-01,HT0111-01,HT0641-01,70,-1.12,-1.22,-0.55
2020-02-01,HT0111-01,HT0641-02,80,0.27,0.27,0.09
2020-02-01,HT0111-01,HT0642-01,130,0.17,0.25,0.06
2020-02-01,HT0111-01,HT0642-02,90,-0.13,-0.14,-0.06
2020-02-01,HT0111-01,HT0711-01,250,-0.19,-0.54,-0.13
2020-02-01,HT0111-01,HT0711-04,150,-0.67,-1.02,-0.44
2020-02-01,HT0111-01,HT0712-01,100,0.67,0.88,0.57
2020-02-01,HT0111-01,HT0712-02,60,0.22,0.2,0.19
2020-02-01,HT0111-01,HT0712-03,70,0.22,0.3,0.25
2020-02-01,HT0111-01,HT0713-02,60,0.9,0.79,0.89
2020-02-01,HT0111-01,HT0714-02,70,-0.9,-1.2,-1.08
2020-02-01,HT0111-01,HT0716-01,60,-0.67,-0.64,-0.63
2020-02-01,HT0111-01,HT0731-02,90,0.67,0.96,0.7
2020-02-01,HT0111-01,HT0731-03,70,-1.01,-0.93,-0.82
2020-02-01,HT0111-01,HT0731-06,90,0.45,0.63,0.44
2020-02-01,HT0111-01,HT0731-07,60,0.67,0.55,0.57
2020-02-01,HT0111-01,HT0732-02,70,0.22,0.19,0.19
2020-02-01,HT0111-01,HT0733-01,70,-0.22,-0.3,-0.25
2020-02-01,HT0111-01,HT0733-02,60,-0.45,-0.43,-0.51
2020-02-01,HT0111-01,HT0752-03,60,0,0,0
2020-02-01,HT0111-01,HT0911-01,120,0.12,0.18,0.02
2020-02-01,HT0111-01,HT0911-03,200,-0.2,-0.43,-0.05
2020-02-01,HT0111-01,HT0911-04,60,-0.13,-0.1,-0.05
2020-02-01,HT0111-01,HT0913-03,100,-0.22,-0.26,-0.07
2020-02-01,HT0111-01,HT0921-02,90,-0.51,-0.53,-0.14
2020-02-01,HT0111-01,HT0921-03,60,0.13,0.08,0.02
2020-02-01,HT0111-01,HT0934-01,60,-0.84,-0.53,-0.22
2020-02-01,HT0111-01,HT0934-03,60,0,0,0
2020-02-01,HT0111-01,HT1011-01,270,0,0,0
2020-02-01,HT0111-01,HT1011-03,60,-0.51,-0.35,-0.32
2020-02-01,HT0111-01,HT1011-04,60,0.67,0.51,0.49
2020-02-01,HT0111-01,HT1021-02,80,-0.45,-0.35,-0.27
2020-02-01,HT0111-01,HT1023-03,70,-0.34,-0.33,-0.27
2020-02-01,HT0111-01,HT1025-01,70,-1.12,-1.17,-0.92
2020-02-01,HT0111-02,HT0111-01,7000,-0.72,-63.86,-0.81
2020-02-01,HT0111-02,HT0111-03,2280,-0.72,-20.68,-0.81
2020-02-01,HT0111-02,HT0112-01,2080,-0.7,-18.55,-0.81
2020-02-01,HT0111-02,HT0113-09,460,-0.72,-4.28,-0.81
2020-02-01,HT0111-02,HT0113-10,1100,-0.81,-11.15,-0.9
2020-02-01,HT0111-02,HT0113-11,590,-0.75,-5.27,-0.81
2020-02-01,HT0111-02,HT0114-01,280,-0.82,-2.72,-0.9
2020-02-01,HT0111-02,HT0114-03,1660,-0.73,-15.13,-0.81
2020-02-01,HT0111-02,HT0114-04,60,-0.22,-0.18,-0.27
2020-02-01,HT0111-02,HT0114-05,840,-0.8,-8.44,-0.9
2020-02-01,HT0111-02,HT0115-01,120,-0.76,-1.1,-0.39
2020-02-01,HT0111-02,HT0115-03,60,-1.18,-0.96,-0.74
2020-02-01,HT0111-02,HT0117-01,1760,-0.72,-16.11,-0.81
2020-02-01,HT0111-02,HT0117-02,250,-0.9,-2.84,-0.99
2020-02-01,HT0111-02,HT0118-03,480,-0.94,-5.34,-0.99
2020-02-01,HT0111-02,HT0118-04,240,-0.48,-1.58,-0.63
2020-02-01,HT0111-02,HT0121-01,130,-0.93,-1.46,-0.48
2020-02-01,HT0111-02,HT0121-02,60,0.17,0.13,0.09
2020-02-01,HT0111-02,HT0122-11,140,-0.45,-0.83,-0.26
2020-02-01,HT0111-02,HT0123-01,60,0.17,0.15,0.13
2020-02-01,HT0111-02,HT0131-01,120,-1.18,-1.77,-1.26
2020-02-01,HT0111-02,HT0131-02,520,-0.79,-5.1,-0.9
2020-02-01,HT0111-02,HT0131-03,220,-0.45,-1.23,-0.54
2020-02-01,HT0111-02,HT0132-04,60,-0.22,-0.17,-0.13
2020-02-01,HT0111-02,HT0141-03,130,-0.67,-1.18,-0.39
2020-02-01,HT0111-02,HT0142-01,180,-0.47,-1.06,-0.26
2020-02-01,HT0111-02,HT0151-02,200,-1.12,-9.29,-1.9
2020-02-01,HT0111-02,HT0211-01,120,-0.79,-1.23,-0.55
2020-02-01,HT0111-02,HT0211-06,70,-1.12,-0.87,-0.6
2020-02-01,HT0111-02,HT0311-02,160,-0.96,-1.99,-0.78
2020-02-01,HT0111-02,HT0311-03,110,-0.34,-0.41,-0.26
2020-02-01,HT0111-02,HT0341-04,60,0.22,0.22,0.26
2020-02-01,HT0111-02,HT0361-05,90,-1.01,-1.15,-0.84
2020-02-01,HT0111-02,HT0511-01,140,-1.01,-1.65,-0.44
2020-02-01,HT0111-02,HT0511-02,60,-1.08,-0.92,-0.55
2020-02-01,HT0111-02,HT0531-06,70,-0.81,-0.7,-0.37
2020-02-01,HT0111-02,HT0542-03,60,-1.21,-0.99,-0.55
2020-02-01,HT0111-03,HT0111-01,11710,0.19,26.11,0.18
2020-02-01,HT0111-03,HT0111-02,1860,0.15,3.34,0.18
2020-02-01,HT0111-03,HT0112-01,5150,0.19,11.57,0.18
2020-02-01,HT0111-03,HT0113-02,150,-0.17,-0.33,-0.18
2020-02-01,HT0111-03,HT0113-03,70,0,0,0
2020-02-01,HT0111-03,HT0113-04,140,-0.17,-0.29,-0.18
2020-02-01,HT0111-03,HT0113-07,120,-0.51,-0.87,-0.63
2020-02-01,HT0111-03,HT0113-08,60,1.01,0.89,0.65
2020-02-01,HT0111-03,HT0113-09,2730,0.22,7.3,0.27
2020-02-01,HT0111-03,HT0113-10,4950,0.17,10.24,0.18
2020-02-01,HT0111-03,HT0113-11,2330,0.24,6.52,0.27
2020-02-01,HT0111-03,HT0114-01,620,0,0,0
2020-02-01,HT0111-03,HT0114-03,2750,0.17,5.62,0.18
2020-02-01,HT0111-03,HT0114-04,160,0,0,0
2020-02-01,HT0111-03,HT0114-05,2370,0.22,6.22,0.27
2020-02-01,HT0111-03,HT0115-01,340,0.23,0.98,0.13
2020-02-01,HT0111-03,HT0115-02,70,0.4,0.42,0.26
2020-02-01,HT0111-03,HT0115-03,150,0.3,0.55,0.17
2020-02-01,HT0111-03,HT0116-02,170,0.22,0.47,0.13
2020-02-01,HT0111-03,HT0116-03,70,0.81,0.6,0.39
2020-02-01,HT0111-03,HT0117-01,4620,0.19,10.6,0.18
2020-02-01,HT0111-03,HT0117-02,640,0.06,0.47,0.09
2020-02-01,HT0111-03,HT0118-03,1310,0.14,2.14,0.18
2020-02-01,HT0111-03,HT0118-04,680,0.37,3.17,0.45
2020-02-01,HT0111-03,HT0121-01,450,0.2,1.06,0.09
2020-02-01,HT0111-03,HT0121-02,200,0.1,0.26,0.04
2020-02-01,HT0111-03,HT0121-03,70,1.01,0.96,0.65
2020-02-01,HT0111-03,HT0121-04,60,-0.27,-0.21,-0.17
2020-02-01,HT0111-03,HT0122-01,70,-0.17,-0.17,-0.13
2020-02-01,HT0111-03,HT0122-11,480,0.23,1.39,0.13
2020-02-01,HT0111-03,HT0123-01,180,0.47,1.02,0.26
2020-02-01,HT0111-03,HT0123-07,140,-0.08,-0.15,-0.04
2020-02-01,HT0111-03,HT0131-01,330,0.37,1.51,0.45
2020-02-01,HT0111-03,HT0131-02,1520,0.2,3.57,0.18
2020-02-01,HT0111-03,HT0131-03,640,0.22,1.64,0.27
2020-02-01,HT0111-03,HT0131-05,90,0.39,0.47,0.22
2020-02-01,HT0111-03,HT0131-09,70,0.67,1.01,0.65
2020-02-01,HT0111-03,HT0131-10,60,1.12,1.09,0.82
2020-02-01,HT0111-03,HT0132-01,120,0.34,0.53,0.22
2020-02-01,HT0111-03,HT0132-04,170,0.37,0.84,0.22
2020-02-01,HT0111-03,HT0133-03,100,0.27,0.35,0.17
2020-02-01,HT0111-03,HT0133-05,80,0.51,0.53,0.3
2020-02-01,HT0111-03,HT0135-01,120,0.27,0.36,0.13
2020-02-01,HT0111-03,HT0141-03,460,0.14,0.79,0.09
2020-02-01,HT0111-03,HT0142-01,660,0.15,1.18,0.09
2020-02-01,HT0111-03,HT0151-02,650,0.67,5.57,0.39
2020-02-01,HT0111-03,HT0211-01,410,0.04,0.18,0
2020-02-01,HT0111-03,HT0211-03,100,0.29,0.36,0.2
2020-02-01,HT0111-03,HT0211-04,70,-0.34,-0.37,-0.25
2020-02-01,HT0111-03,HT0211-06,250,0.28,0.87,0.2
2020-02-01,HT0111-03,HT0211-08,60,0,0,0
2020-02-01,HT0111-03,HT0211-11,110,0,0,0
2020-02-01,HT0111-03,HT0212-01,170,0.45,1,0.3
2020-02-01,HT0111-03,HT0212-02,60,0.16,0.11,0.1
2020-02-01,HT0111-03,HT0212-03,140,0.07,0.1,0.05
2020-02-01,HT0111-03,HT0212-04,110,0,0,0
2020-02-01,HT0111-03,HT0212-05,100,0,0,0
2020-02-01,HT0111-03,HT0213-01,100,-0.4,-0.55,-0.3
2020-02-01,HT0111-03,HT0213-02,140,0.15,0.23,0.1
2020-02-01,HT0111-03,HT0213-03,60,-0.9,-0.81,-0.7
2020-02-01,HT0111-03,HT0213-04,60,0.34,0.26,0.2
2020-02-01,HT0111-03,HT0231-01,60,0.54,0.49,0.4
2020-02-01,HT0111-03,HT0231-02,60,-0.27,-0.19,-0.15
2020-02-01,HT0111-03,HT0231-05,70,-0.17,-0.13,-0.1
2020-02-01,HT0111-03,HT0232-01,60,-0.34,-0.27,-0.25
2020-02-01,HT0111-03,HT0233-01,80,0,0,0
2020-02-01,HT0111-03,HT0311-01,80,0.84,1.18,0.97
2020-02-01,HT0111-03,HT0311-02,520,0.32,1.99,0.26
2020-02-01,HT0111-03,HT0311-03,330,0,0,0
2020-02-01,HT0111-03,HT0312-01,70,0,0,0
2020-02-01,HT0111-03,HT0312-02,70,0.9,1.06,1.04
2020-02-01,HT0111-03,HT0313-01,70,0.84,0.81,0.78
2020-02-01,HT0111-03,HT0313-03,120,0,0,0
2020-02-01,HT0111-03,HT0321-02,110,0.84,1.17,0.71
2020-02-01,HT0111-03,HT0322-01,60,0.22,0.18,0.19
2020-02-01,HT0111-03,HT0322-02,80,-0.45,-0.5,-0.39
2020-02-01,HT0111-03,HT0323-02,70,-0.17,-0.16,-0.13
2020-02-01,HT0111-03,HT0331-06,110,-0.17,-0.22,-0.13
2020-02-01,HT0111-03,HT0332-02,60,-0.51,-0.48,-0.52
2020-02-01,HT0111-03,HT0341-04,180,0.1,0.22,0.06
2020-02-01,HT0111-03,HT0342-04,90,0.84,1.21,0.84
2020-02-01,HT0111-03,HT0343-01,60,0,0,0
2020-02-01,HT0111-03,HT0344-01,140,0,0,0
2020-02-01,HT0111-03,HT0344-02,70,0,0,0
2020-02-01,HT0111-03,HT0351-03,60,-0.67,-0.79,-0.84
