month,pcod,residents,residents_perKm2,arrived,departed,delta_arrived,residents_diffwithref,abnormality,residents_pctchangewithref
2020-02-01,HT0131-03,76920,2950,31750,32190,-440,3500,2.2,4.77
2020-02-01,HT0131-05,19840,460,3960,4020,-60,-210,-6.19,-1.06
2020-02-01,HT0131-06,2280,30,180,180,0,0,0,0
2020-02-01,HT0131-07,3660,30,320,320,0,0,0,0
2020-02-01,HT0131-08,6070,50,710,800,-90,-260,-6.28,-4.15
2020-02-01,HT0131-09,10360,190,1300,1300,0,10,0.57,0.06
2020-02-01,HT0131-10,7400,70,780,770,0,-30,-2.74,-0.41
2020-02-01,HT0132-01,30190,220,3450,3510,-60,-30,0,-0.09
2020-02-01,HT0132-02,4080,90,350,350,0,0,0,0
2020-02-01,HT0132-04,37220,520,5540,5540,0,-530,-6.47,-1.4
2020-02-01,HT0133-01,7600,270,570,570,0,0,0,0
2020-02-01,HT0133-02,6650,60,670,670,0,0,0,0
2020-02-01,HT0133-03,35170,200,4190,4150,40,30,1.45,0.09
2020-02-01,HT0133-04,6040,60,570,570,0,0,0,0
2020-02-01,HT0133-05,21050,270,2340,2350,-10,-220,-1.24,-1.05
2020-02-01,HT0134-01,12140,210,1460,1450,0,-110,-1.62,-0.89
2020-02-01,HT0134-02,13430,340,1340,1340,0,-10,-0.26,-0.05
2020-02-01,HT0134-03,11670,220,1220,1220,0,-10,-2.54,-0.13
2020-02-01,HT0134-04,10990,340,980,980,0,10,0.45,0.08
2020-02-01,HT0134-05,7560,170,760,770,0,,,
2020-02-01,HT0135-01,49170,170,4380,4330,50,140,3.04,0.29
2020-02-01,HT0141-01,1980,280,230,230,0,0,,0
2020-02-01,HT0141-02,7350,80,860,860,-10,-50,-3.15,-0.62
2020-02-01,HT0141-03,129360,2780,22710,22790,-80,2590,6.27,2.04
2020-02-01,HT0141-04,6630,80,500,500,0,0,0,0
2020-02-01,HT0141-05,7610,80,850,850,0,30,0.49,0.33
2020-02-01,HT0141-06,6360,70,510,510,0,-20,-0.43,-0.32
2020-02-01,HT0142-01,109970,2720,22830,22810,20,,,
2020-02-01,HT0142-02,2910,190,250,250,0,0,,0
2020-02-01,HT0142-03,4150,110,330,330,0,0,0,0
2020-02-01,HT0142-04,4540,40,510,510,0,0,,0
2020-02-01,HT0151-01,4540,70,450,450,0,0,0,0
2020-02-01,HT0151-02,272000,4040,27950,28050,-100,180,-2.18,0.07
2020-02-01,HT0151-03,2100,50,260,260,0,0,,0
2020-02-01,HT0151-04,2760,20,230,230,0,0,0,0
2020-02-01,HT0152-01,6020,90,610,610,0,0,0,0
2020-02-01,HT0152-02,4910,70,540,540,0,0,0,0
2020-02-01,HT0152-03,9590,140,780,780,0,0,0,0
2020-02-01,HT0152-04,5060,60,450,450,0,0,0,0
2020-02-01,HT0152-05,1700,50,150,150,0,0,,0
2020-02-01,HT0211-01,74120,1000,12640,12370,270,-760,-5.38,-1.01
2020-02-01,HT0211-02,2950,220,350,350,0,0,0,0
2020-02-01,HT0211-03,15060,330,2990,3040,-60,400,0.85,2.71
2020-02-01,HT0211-04,6040,150,1250,1220,30,30,1.45,0.45
2020-02-01,HT0211-05,2800,170,300,300,0,0,,0
2020-02-01,HT0211-06,48320,970,5710,5750,-30,-360,-1.4,-0.75
2020-02-01,HT0211-07,7900,180,1260,1240,30,-90,-2.79,-1.1
2020-02-01,HT0211-08,11900,510,1550,1590,-30,-220,-1.69,-1.77
2020-02-01,HT0211-09,7200,230,1110,1120,-10,40,1.46,0.58
2020-02-01,HT0211-10,10710,290,1550,1570,-20,50,2.59,0.5
2020-02-01,HT0211-11,25040,370,3930,4100,-180,-230,-2.61,-0.9
2020-02-01,HT0212-01,19030,740,5000,5300,-310,300,3.79,1.58
2020-02-01,HT0212-02,6380,230,1190,1170,20,-140,-5.86,-2.13
2020-02-01,HT0212-03,17110,320,3360,3280,80,-280,-1.6,-1.6
2020-02-01,HT0212-04,17020,350,3320,3320,0,-120,-0.86,-0.67
2020-02-01,HT0212-05,14370,410,2850,2800,60,-10,0.05,-0.05
2020-02-01,HT0213-01,11780,750,2500,2470,30,-160,-1.25,-1.3
2020-02-01,HT0213-02,15370,570,2960,3010,-50,-260,-0.95,-1.66
2020-02-01,HT0213-03,6230,390,700,700,0,-30,-3.4,-0.41
2020-02-01,HT0213-04,5920,280,830,830,0,70,3.15,1.13
2020-02-01,HT0214-01,8110,220,1040,1050,0,10,-0.02,0.08
2020-02-01,HT0214-02,5170,220,490,490,0,0,0,0
2020-02-01,HT0214-03,13370,550,1790,1790,0,310,1.17,2.39
2020-02-01,HT0221-01,8820,210,1090,1090,0,0,0,0
2020-02-01,HT0221-02,7740,220,1420,1440,-10,-80,-2.53,-1.08
2020-02-01,HT0221-03,3760,140,440,440,0,0,,0
2020-02-01,HT0221-04,4120,210,420,420,0,0,,0
2020-02-01,HT0221-05,13680,310,1900,1950,-50,270,1.2,2.05
2020-02-01,HT0221-06,1420,150,140,140,0,0,,0
2020-02-01,HT0221-07,4040,230,450,450,0,0,,0
2020-02-01,HT0221-08,7100,250,1080,1080,0,30,0.16,0.38
2020-02-01,HT0221-09,15180,200,1540,1490,50,-280,-1.39,-1.78
2020-02-01,HT0222-01,17700,260,2070,2050,10,190,5.08,1.06
2020-02-01,HT0222-02,8050,320,990,990,0,-10,-0.8,-0.11
2020-02-01,HT0222-03,2810,390,290,290,0,0,0,0
2020-02-01,HT0222-04,4050,330,460,460,0,0,0,0
2020-02-01,HT0222-05,3700,320,420,420,0,0,,0
2020-02-01,HT0222-06,14590,280,1770,1830,-60,120,4.6,0.8
2020-02-01,HT0231-01,10540,160,1920,1970,-50,-30,-1.63,-0.28
2020-02-01,HT0231-02,11090,180,1750,1780,-30,-140,-0.72,-1.27
2020-02-01,HT0231-03,5520,200,740,740,0,0,0,0
2020-02-01,HT0231-04,9840,190,1710,1700,10,40,2.82,0.42
2020-02-01,HT0231-05,16890,300,1870,1860,10,30,1.92,0.18
2020-02-01,HT0231-06,9220,170,1230,1240,0,-20,-1.45,-0.27
2020-02-01,HT0231-07,13180,200,1870,1860,10,10,0,0.07
2020-02-01,HT0232-01,17280,220,2240,2230,0,70,5.54,0.4
2020-02-01,HT0233-01,25680,490,3370,3370,-10,60,0,0.22
2020-02-01,HT0233-02,9450,140,1150,1150,0,-10,-1.52,-0.1
2020-02-01,HT0234-01,15310,120,1970,1960,10,,,
2020-02-01,HT0311-01,19550,930,3600,3560,40,580,5.97,3.05
2020-02-01,HT0311-02,142160,7450,28230,28680,-450,-2660,-3.64,-1.84
2020-02-01,HT0311-03,92220,6510,28090,27690,400,-2490,-5.81,-2.63
2020-02-01,HT0312-01,14920,540,2750,2740,0,40,1.89,0.29
2020-02-01,HT0312-02,14140,440,2170,2170,0,70,1.56,0.48
2020-02-01,HT0313-01,16100,280,3030,3020,10,,,
2020-02-01,HT0313-02,10390,260,1310,1310,0,,,
2020-02-01,HT0313-03,28910,850,4630,4630,0,-350,-1.28,-1.19
2020-02-01,HT0321-02,23210,640,4590,4470,110,-270,-1.65,-1.14
2020-02-01,HT0321-03,10490,300,1610,1620,-10,0,0.34,0.04
2020-02-01,HT0322-01,13150,310,1800,1790,10,,,
2020-02-01,HT0322-02,17820,600,3350,3340,10,-140,-1.52,-0.8
2020-02-01,HT0322-03,9660,430,1530,1530,0,10,1.89,0.14
2020-02-01,HT0322-04,1250,210,180,180,0,0,,0
2020-02-01,HT0323-01,9040,320,1560,1550,10,80,2.62,0.88
2020-02-01,HT0323-02,14920,1090,3360,3270,80,100,5.83,0.7
2020-02-01,HT0323-03,8830,310,1600,1580,20,70,2.76,0.8
2020-02-01,HT0331-01,3960,200,530,530,0,0,0,0
2020-02-01,HT0331-02,3100,130,420,420,0,0,0,0
2020-02-01,HT0331-04,3090,170,410,410,0,0,0,0
2020-02-01,HT0331-05,6330,220,750,750,0,0,0,0
2020-02-01,HT0331-06,24970,1560,4940,4960,-10,500,9.13,2.05
2020-02-01,HT0332-01,6260,220,970,970,0,0,,0
2020-02-01,HT0332-02,13670,360,2330,2330,-10,230,1.19,1.7
2020-02-01,HT0332-03,3110,240,410,410,0,0,0,0
2020-02-01,HT0341-01,4710,150,700,700,0,0,,0
2020-02-01,HT0341-02,3380,90,350,350,0,0,0,0
2020-02-01,HT0341-03,7120,240,1210,1210,0,-10,-1.3,-0.13
2020-02-01,HT0341-04,40470,480,9330,9330,0,1120,1.12,2.84
2020-02-01,HT0342-01,5240,240,760,760,0,0,0,0
2020-02-01,HT0342-02,3590,190,500,500,0,0,,0
2020-02-01,HT0342-03,6360,180,910,910,0,0,-1.98,-0.07
2020-02-01,HT0342-04,17770,700,3410,3240,170,240,2.68,1.36
2020-02-01,HT0342-05,2820,140,410,410,0,0,,0
2020-02-01,HT0343-01,13150,510,2560,2510,60,180,2,1.41
2020-02-01,HT0343-02,8670,280,1490,1490,0,0,-0.56,-0.05
2020-02-01,HT0343-03,5680,240,1000,1000,0,0,0,0
2020-02-01,HT0344-01,30660,500,5500,5490,10,-90,-0.78,-0.28
2020-02-01,HT0344-02,13480,160,1910,1900,10,180,2.37,1.37
2020-02-01,HT0345-01,10050,330,1830,1820,10,,,
2020-02-01,HT0351-01,11400,340,2370,2350,20,50,5.49,0.42
2020-02-01,HT0351-07,17040,430,2830,2900,-60,,,
2020-02-01,HT0352-02,21080,2470,3430,3250,180,-250,-1.68,-1.15
2020-02-01,HT0352-03,7380,280,1140,1130,10,70,14.18,0.89
2020-02-01,HT0352-05,9040,320,1820,1850,-30,-30,-5.42,-0.37
2020-02-01,HT0352-06,8130,310,970,970,0,0,0,0
2020-02-01,HT0361-01,2440,100,310,310,0,0,0,0
2020-02-01,HT0361-02,1710,80,230,230,0,0,0,0
2020-02-01,HT0361-03,9280,420,1220,1230,0,50,1.36,0.6
2020-02-01,HT0361-04,21230,1470,4310,4320,-10,0,0,-0.01
2020-02-01,HT0361-05,77480,7130,16200,16120,80,760,0.35,1
2020-02-01,HT0362-01,2340,180,280,280,0,0,,0
2020-02-01,HT0362-02,18860,480,3060,3140,-80,-170,-2.23,-0.91
2020-02-01,HT0371-01,7220,560,1120,1120,0,,,
2020-02-01,HT0371-05,6330,400,1020,1020,0,40,1.95,0.64
2020-02-01,HT0371-07,29470,2220,6190,6280,-90,590,4.75,2.04
2020-02-01,HT0371-08,10540,440,1960,1970,-20,40,1.85,0.38
2020-02-01,HT0372-01,20250,900,4350,4320,30,-70,-0.38,-0.33
2020-02-01,HT0372-02,4150,250,660,660,0,0,,0
2020-02-01,HT0372-03,6980,440,1370,1370,0,120,1.13,1.77
2020-02-01,HT0372-04,3140,360,520,520,0,0,,0
2020-02-01,HT0372-08,8540,360,1230,1180,60,-290,-5.14,-3.27
2020-02-01,HT0411-01,23070,270,1920,1920,10,10,0.26,0.04
2020-02-01,HT0411-02,3000,50,200,200,0,0,0,0
2020-02-01,HT0411-03,3140,40,170,170,0,0,0,0
2020-02-01,HT0412-01,14220,210,1120,1120,0,10,1.54,0.09
2020-02-01,HT0413-01,1900,120,120,120,0,0,0,0
2020-02-01,HT0413-02,9090,370,580,580,0,0,-0.4,-0.04
2020-02-01,HT0421-01,82800,1400,7200,7210,-10,-170,-1.59,-0.21
2020-02-01,HT0421-02,4120,100,300,300,0,0,0,0
2020-02-01,HT0421-03,9170,200,660,660,0,0,,0
2020-02-01,HT0421-04,3670,110,160,160,0,0,0,0
2020-02-01,HT0421-05,3060,150,280,280,0,0,,0
2020-02-01,HT0422-01,10970,330,780,780,0,-10,0.68,-0.08
2020-02-01,HT0423-01,16480,270,1340,1310,30,,,
2020-02-01,HT0423-02,4440,110,290,290,0,0,,0
2020-02-01,HT0431-01,2050,150,170,170,0,0,0,0
2020-02-01,HT0431-03,38320,550,2730,2710,30,-60,-0.64,-0.15
2020-02-01,HT0432-01,3010,200,200,200,0,0,0,0
2020-02-01,HT0432-02,2780,220,220,220,0,0,0,0
2020-02-01,HT0432-04,4120,380,300,300,0,0,,0
2020-02-01,HT0432-06,9290,250,860,860,0,,,
2020-02-01,HT0433-01,17790,150,1550,1550,0,50,-0.03,0.28
2020-02-01,HT0433-02,12430,240,880,850,30,30,0,0.23
2020-02-01,HT0434-01,5930,190,460,460,0,0,,0
2020-02-01,HT0434-02,2390,50,150,150,0,0,0,0
2020-02-01,HT0441-01,10580,130,650,630,10,0,-0.11,0.04
2020-02-01,HT0442-01,3640,150,250,250,0,0,0,0
2020-02-01,HT0442-02,10290,310,790,790,0,0,0,0
2020-02-01,HT0443-01,13960,200,1240,1210,40,-10,-0.45,-0.1
2020-02-01,HT0443-02,19220,150,1830,1830,0,-50,-3.07,-0.24
2020-02-01,HT0511-01,237340,2560,30120,30540,-420,-4440,-5.14,-1.84
2020-02-01,HT0511-02,112470,600,19450,19160,290,770,1.8,0.69
2020-02-01,HT0511-03,22220,130,2600,2630,-30,30,0.16,0.15
2020-02-01,HT0511-04,15080,290,1940,1930,10,40,0.73,0.28
2020-02-01,HT0511-05,8660,130,940,930,10,10,1,0.11
2020-02-01,HT0512-01,17190,280,2010,1920,90,-20,-0.11,-0.12
2020-02-01,HT0512-02,16820,350,1420,1440,-20,10,0,0.08
2020-02-01,HT0512-03,5110,90,390,390,0,0,0,0
2020-02-01,HT0512-04,12060,270,1290,1320,-30,-90,-1.41,-0.71
2020-02-01,HT0513-01,30000,540,1950,1910,50,130,1.1,0.43
2020-02-01,HT0513-02,17280,150,1900,1860,40,-310,-3.3,-1.74
2020-02-01,HT0521-01,7900,240,770,790,-20,80,2.4,1.01
2020-02-01,HT0521-02,14140,350,1050,1050,0,-10,-1.36,-0.04
2020-02-01,HT0521-03,57240,1560,8080,8160,-80,-200,-0.56,-0.35
2020-02-01,HT0521-04,18140,460,1490,1460,30,120,0.62,0.65
2020-02-01,HT0521-05,6010,190,600,600,0,0,0,0
2020-02-01,HT0521-06,24140,220,2360,2370,-10,80,1.67,0.33
2020-02-01,HT0521-07,14870,240,1150,1120,30,-80,-1.25,-0.55
2020-02-01,HT0521-08,18540,390,1760,1820,-60,50,-0.25,0.29
2020-02-01,HT0522-01,11830,130,1310,1290,20,-30,-1.66,-0.24
2020-02-01,HT0522-02,8830,180,500,500,0,0,0,0
2020-02-01,HT0522-03,10100,240,840,840,0,,,
2020-02-01,HT0523-01,11690,40,1020,990,20,160,3.84,1.41
2020-02-01,HT0523-02,84180,540,11290,11490,-200,2210,1.84,2.69
2020-02-01,HT0531-01,22990,450,2450,2410,30,100,0.4,0.42
2020-02-01,HT0531-02,64370,460,9020,8920,90,420,4.06,0.66
2020-02-01,HT0531-03,11270,240,970,970,0,-10,-0.15,-0.09
2020-02-01,HT0531-04,16350,170,2200,2260,-60,0,0,-0.01
2020-02-01,HT0531-05,61080,320,6130,6250,-110,-970,-4.7,-1.56
2020-02-01,HT0531-06,112540,3520,11870,11770,100,720,0.32,0.64
2020-02-01,HT0532-01,42460,1260,5430,5440,-10,-20,-0.05,-0.05
2020-02-01,HT0532-02,26710,430,3750,3690,60,-20,-0.14,-0.07
2020-02-01,HT0532-03,13400,430,1590,1610,-20,-220,-2.77,-1.65
2020-02-01,HT0532-04,30590,290,3590,3610,-20,-400,-5.16,-1.28
2020-02-01,HT0532-05,26930,360,2970,2970,0,630,1.79,2.38
2020-02-01,HT0532-06,12530,310,840,800,40,30,0.82,0.27
2020-02-01,HT0533-01,20300,250,2370,2390,-20,-250,-2.3,-1.2
2020-02-01,HT0533-02,11840,180,1260,1250,10,-40,-0.64,-0.34
2020-02-01,HT0541-01,27920,740,3930,3820,110,-150,-0.55,-0.53
2020-02-01,HT0541-02,30950,500,2790,2790,10,-100,-0.99,-0.33
2020-02-01,HT0541-03,72640,640,9330,9570,-240,-370,-1.75,-0.51
2020-02-01,HT0541-04,21990,220,3250,3230,20,140,3.84,0.62
2020-02-01,HT0541-05,11830,260,1060,1060,0,-140,-1.92,-1.18
2020-02-01,HT0542-01,40190,840,4740,4840,-100,-300,-1.24,-0.75
2020-02-01,HT0542-02,13530,410,1660,1640,20,10,0.17,0.05
2020-02-01,HT0542-03,68450,1060,9080,9150,-70,-100,-0.52,-0.15
2020-02-01,HT0542-04,24460,170,2630,2620,10,-60,-2.16,-0.26
2020-02-01,HT0542-05,15700,130,1410,1410,0,-110,-1.56,-0.71
2020-02-01,HT0542-06,16370,170,2710,2760,-50,-10,-0.08,-0.07
2020-02-01,HT0543-01,23650,470,2660,2590,60,-190,-2.74,-0.81
2020-02-01,HT0544-01,39960,400,4830,5090,-260,240,1.29,0.6
2020-02-01,HT0551-01,30290,390,3080,3010,70,-450,-2.38,-1.48
2020-02-01,HT0551-03,26890,700,3030,2950,70,-20,-0.1,-0.09
2020-02-01,HT0551-04,16950,250,2270,2210,60,-110,-2.16,-0.63
2020-02-01,HT0551-05,9910,220,1060,1060,0,0,0.9,0.02
2020-02-01,HT0551-06,14860,140,1430,1440,-10,-80,-3.44,-0.56
2020-02-01,HT0551-07,19370,200,1710,1710,0,-10,-0.24,-0.07
2020-02-01,HT0551-08,25840,210,2350,2350,0,-70,-1.37,-0.28
2020-02-01,HT0552-01,18480,420,2940,2950,0,590,10.92,3.29
2020-02-01,HT0552-03,9100,290,810,820,-10,-20,-0.7,-0.26
2020-02-01,HT0611-01,61800,340,10130,10150,-20,200,1.31,0.32
2020-02-01,HT0611-02,16700,150,1480,1450,20,50,2.18,0.32
2020-02-01,HT0611-03,23360,190,1650,1660,0,140,5.94,0.58
2020-02-01,HT0611-04,22930,130,1470,1440,30,40,-0.2,0.16
2020-02-01,HT0612-01,34510,320,3030,3040,-10,-900,-5.88,-2.55
2020-02-01,HT0612-02,9210,140,850,850,0,-10,-2.64,-0.13
2020-02-01,HT0612-03,14060,120,960,960,0,-20,-0.74,-0.17
2020-02-01,HT0613-01,25250,220,1980,1980,0,0,0.01,0
2020-02-01,HT0613-02,14310,200,1000,1000,0,,,
2020-02-01,HT0613-03,6520,100,460,460,0,0,0.71,0.01
2020-02-01,HT0613-04,16260,150,1350,1360,-10,-30,-4.36,-0.21
2020-02-01,HT0614-01,22950,150,1910,1890,20,-30,-0.68,-0.15
2020-02-01,HT0621-01,41250,580,4880,4910,-30,320,4.58,0.79
2020-02-01,HT0621-02,6950,70,580,580,0,0,,0
2020-02-01,HT0621-03,11430,140,890,890,0,-240,-2.07,-2.07
2020-02-01,HT0621-04,77940,1050,10020,9880,140,-370,-0.86,-0.47
2020-02-01,HT0622-01,14310,310,1500,1500,0,140,0.92,0.96
2020-02-01,HT0622-02,10460,170,1030,1030,0,90,2.23,0.85
2020-02-01,HT0622-03,8620,240,990,980,10,-20,-1.12,-0.28
2020-02-01,HT0623-01,9500,100,710,710,0,-20,-0.48,-0.21
2020-02-01,HT0623-02,21670,180,2310,2260,50,-380,-3.99,-1.71
2020-02-01,HT0623-03,23250,160,2290,2290,0,90,2.84,0.39
2020-02-01,HT0631-01,14360,210,1290,1290,0,20,-0.31,0.14
2020-02-01,HT0631-02,30370,390,2220,2220,0,-310,-4.5,-1
2020-02-01,HT0632-01,49180,370,2880,2850,30,-140,-2.03,-0.29
2020-02-01,HT0632-02,17770,170,1110,1100,0,-20,-0.45,-0.14
2020-02-01,HT0632-03,18130,270,1420,1370,40,20,0.26,0.12
2020-02-01,HT0633-01,8660,170,740,740,0,-10,-1.21,-0.06
2020-02-01,HT0633-02,25520,220,1820,1850,-30,-110,-2.07,-0.42
2020-02-01,HT0641-01,19940,130,1500,1500,0,0,,0
2020-02-01,HT0641-02,23800,190,1960,2090,-140,-110,-1.91,-0.45
2020-02-01,HT0641-03,12150,140,870,870,0,-10,-5.56,-0.06
2020-02-01,HT0642-01,38270,330,4250,4250,0,450,4.2,1.18
2020-02-01,HT0642-02,27170,220,2100,2110,-10,-30,-2.04,-0.12
2020-02-01,HT0711-01,72810,1380,13530,13660,-130,20,0.39,0.02
2020-02-01,HT0711-02,7860,200,1140,1140,0,0,0,0
2020-02-01,HT0711-03,11120,300,1570,1560,0,-10,-2.8,-0.1
2020-02-01,HT0711-04,41440,1700,6430,6440,-10,60,-0.15,0.14
2020-02-01,HT0711-05,7620,270,860,860,0,0,0,0
2020-02-01,HT0711-06,8530,240,1350,1350,0,,,
2020-02-01,HT0712-01,27610,650,5040,5030,0,-20,-1.37,-0.08
2020-02-01,HT0712-03,18510,350,2830,2830,0,0,0,0
2020-02-01,HT0712-04,7870,180,1060,1060,0,0,0,0
2020-02-01,HT0713-01,6780,270,1050,1050,0,0,0,0
2020-02-01,HT0713-02,15310,480,1900,1860,40,50,0.57,0.34
2020-02-01,HT0713-03,10520,110,1340,1340,0,0,,0
2020-02-01,HT0714-01,13960,520,1600,1600,0,0,0,0
2020-02-01,HT0714-02,18930,280,3220,3220,0,0,0,0
2020-02-01,HT0714-03,9940,310,1660,1660,0,0,,0
2020-02-01,HT0715-01,8770,290,1290,1290,0,0,,0
2020-02-01,HT0715-02,5860,130,820,820,0,0,,0
2020-02-01,HT0715-03,8710,160,1150,1150,0,0,0,0
2020-02-01,HT0716-01,14450,320,1720,1720,0,0,0,0
2020-02-01,HT0721-01,13070,300,1470,1470,0,-10,-1.55,-0.04
2020-02-01,HT0721-02,5910,420,990,990,0,0,,0
2020-02-01,HT0722-01,9500,380,1240,1240,0,0,-0.75,-0.02
2020-02-01,HT0722-02,6620,310,700,700,0,0,0,0
2020-02-01,HT0722-03,8070,350,1220,1220,0,0,0,0
2020-02-01,HT0723-01,2460,310,400,400,0,0,0,0
2020-02-01,HT0723-02,14650,440,2080,2130,-60,-160,-0.87,-1.05
2020-02-01,HT0723-03,10250,1150,1520,1520,0,0,0.75,0.04
2020-02-01,HT0731-01,8440,100,1310,1310,0,0,0,0
2020-02-01,HT0731-02,16800,420,1720,1720,0,0,0,0
2020-02-01,HT0731-03,14450,360,1930,1930,0,0,0,0
2020-02-01,HT0731-04,6310,50,940,940,0,0,,0
2020-02-01,HT0731-05,7530,290,1260,1260,0,0,0,0
2020-02-01,HT0731-06,16920,250,2190,2190,0,0,0,0
2020-02-01,HT0731-07,11530,90,2240,2240,10,20,1.51,0.15
2020-02-01,HT0731-08,7230,250,1010,1010,0,0,0,0
2020-02-01,HT0731-09,8000,160,1090,1090,0,0,0.09,0.01
2020-02-01,HT0731-10,9480,230,1460,1460,0,0,0,0
2020-02-01,HT0732-01,2680,150,430,430,0,0,,0
2020-02-01,HT0732-02,16770,580,2350,2360,-10,-20,-4.67,-0.12
2020-02-01,HT0732-03,11600,450,1210,1210,0,10,2.54,0.08
2020-02-01,HT0732-04,7810,320,970,970,0,0,0,0
2020-02-01,HT0732-05,4850,290,770,770,0,0,,0
2020-02-01,HT0732-06,6710,280,980,980,0,0,0,0
2020-02-01,HT0732-07,5070,220,670,670,0,0,0,0
2020-02-01,HT0732-08,4950,230,680,680,0,0,0,0
2020-02-01,HT0733-01,15500,270,2800,2800,0,0,0,0
2020-02-01,HT0733-02,13310,240,1860,1860,0,0,0,0
2020-02-01,HT0733-03,6290,170,900,900,0,0,,0
