date,pcod,presence,presence_perKm2,trips_in,trips_out,abnormality,presence_diffwithref,presence_pctchangewithref
2020-02-01,HT0131-01,21880,530,5050,5100,0.07,310,1.44
2020-02-01,HT0131-02,129930,2760,41020,42100,-1.14,-36290,-21.83
2020-02-01,HT0131-03,73330,2810,17470,17330,-0.01,-90,-0.13
2020-02-01,HT0131-04,9620,440,540,540,-0.3,-300,-3.06
2020-02-01,HT0131-05,21610,500,1750,1720,0.78,1550,7.74
2020-02-01,HT0131-08,6330,60,260,290,0,0,-0.03
2020-02-01,HT0131-09,10800,190,720,740,0.48,450,4.35
2020-02-01,HT0131-10,7040,70,570,620,-0.57,-390,-5.21
2020-02-01,HT0132-01,32920,240,2320,2290,0.93,2710,8.98
2020-02-01,HT0132-04,36140,500,3510,3590,-0.44,-1610,-4.27
2020-02-01,HT0133-01,7480,260,320,320,-0.17,-120,-1.57
2020-02-01,HT0133-02,7220,60,170,170,0.9,570,8.53
2020-02-01,HT0133-03,30950,170,2140,2140,-1.24,-4190,-11.93
2020-02-01,HT0133-04,5230,60,90,120,-1.37,-810,-13.43
2020-02-01,HT0133-05,21380,270,1270,1270,0.05,110,0.5
2020-02-01,HT0134-01,11350,200,750,760,-0.79,-900,-7.32
2020-02-01,HT0134-02,14410,370,610,600,0.76,980,7.3
2020-02-01,HT0134-03,12980,250,510,470,1.23,1290,11.07
2020-02-01,HT0134-04,11210,350,560,560,0.21,230,2.1
2020-02-01,HT0134-05,7920,180,260,260,0.47,370,4.86
2020-02-01,HT0135-01,48460,170,2820,2850,-0.12,-570,-1.16
2020-02-01,HT0141-02,7200,80,580,580,-0.27,-190,-2.58
2020-02-01,HT0141-03,112070,2400,13530,13710,-1.24,-14700,-11.6
2020-02-01,HT0141-04,7300,90,320,330,1.12,670,10.08
2020-02-01,HT0141-05,6570,70,530,520,-1.38,-1020,-13.48
2020-02-01,HT0141-06,5700,60,350,340,-1.1,-680,-10.62
2020-02-01,HT0142-01,109930,2720,12730,12880,0.07,710,0.65
2020-02-01,HT0142-02,2930,200,90,90,0.07,20,0.72
2020-02-01,HT0142-03,4440,120,270,260,0.77,290,6.86
2020-02-01,HT0142-04,4700,40,290,280,0.35,150,3.4
2020-02-01,HT0151-02,299900,4460,14460,14140,1.14,28080,10.33
2020-02-01,HT0152-03,8750,130,220,230,-0.87,-830,-8.69
2020-02-01,HT0211-01,77980,1050,8400,8440,0.34,3090,4.13
2020-02-01,HT0211-02,3030,230,150,160,0.23,80,2.62
2020-02-01,HT0211-03,14690,320,1380,1420,0.02,30,0.18
2020-02-01,HT0211-04,6110,160,520,550,0.14,90,1.53
2020-02-01,HT0211-05,2900,180,150,150,0.37,100,3.73
2020-02-01,HT0211-06,50210,1010,4930,4770,0.27,1530,3.15
2020-02-01,HT0211-07,9130,200,710,730,1.36,1140,14.27
2020-02-01,HT0211-08,12820,550,970,990,0.51,710,5.83
2020-02-01,HT0211-09,7680,240,610,600,0.71,520,7.32
2020-02-01,HT0211-10,9840,270,880,910,-0.69,-820,-7.66
2020-02-01,HT0211-11,24290,360,2080,2100,-0.37,-980,-3.86
2020-02-01,HT0212-01,17860,690,1960,2000,-0.46,-880,-4.68
2020-02-01,HT0212-02,6210,230,730,720,-0.46,-310,-4.72
2020-02-01,HT0212-03,17470,330,1930,1920,0.04,80,0.48
2020-02-01,HT0212-04,15600,330,1770,1740,-0.84,-1540,-8.96
2020-02-01,HT0212-05,14430,410,1400,1420,0.04,60,0.39
2020-02-01,HT0213-01,10630,670,1010,1000,-0.94,-1300,-10.91
2020-02-01,HT0213-02,13530,500,1560,1540,-1.25,-2090,-13.39
2020-02-01,HT0213-03,6380,400,420,400,0.2,120,1.98
2020-02-01,HT0213-04,5450,250,550,540,-0.66,-400,-6.89
2020-02-01,HT0214-01,8790,230,570,560,0.81,690,8.46
2020-02-01,HT0214-02,5210,220,160,150,0.07,40,0.77
2020-02-01,HT0214-03,13480,550,930,910,0.28,420,3.24
2020-02-01,HT0221-01,8280,200,430,430,-0.58,-540,-6.1
2020-02-01,HT0221-02,9350,260,530,550,1.72,1520,19.39
2020-02-01,HT0221-04,4420,220,70,70,0.68,300,7.33
2020-02-01,HT0221-05,12280,280,860,810,-0.77,-1120,-8.39
2020-02-01,HT0221-07,4650,260,90,90,1.52,610,15.1
2020-02-01,HT0221-08,7380,260,430,430,0.4,310,4.33
2020-02-01,HT0221-09,13780,180,950,990,-1.03,-1680,-10.85
2020-02-01,HT0222-01,17800,260,1000,970,0.16,290,1.65
2020-02-01,HT0222-02,6920,270,330,330,-1.33,-1150,-14.22
2020-02-01,HT0222-04,3800,310,80,80,-0.59,-250,-6.09
2020-02-01,HT0222-06,12850,250,620,590,-1.01,-1620,-11.21
2020-02-01,HT0231-01,10890,160,870,880,0.27,310,2.98
2020-02-01,HT0231-02,9820,160,940,970,-1.28,-1420,-12.63
2020-02-01,HT0231-03,5330,190,260,260,-0.3,-190,-3.46
2020-02-01,HT0231-04,9520,180,740,730,-0.24,-280,-2.9
2020-02-01,HT0231-05,18220,330,1140,1160,0.79,1370,8.11
2020-02-01,HT0231-06,9750,180,450,460,0.55,510,5.54
2020-02-01,HT0231-07,11660,180,710,690,-1.12,-1520,-11.5
2020-02-01,HT0232-01,15830,200,980,970,-0.78,-1390,-8.05
2020-02-01,HT0233-01,28550,550,1380,1340,1.02,2920,11.4
2020-02-01,HT0233-02,8270,120,450,470,-1.19,-1190,-12.54
2020-02-01,HT0234-01,15480,120,740,740,0.09,160,1.03
2020-02-01,HT0311-01,18650,890,1950,1960,-0.13,-320,-1.68
2020-02-01,HT0311-02,164460,8620,21540,21520,1.01,19640,13.56
2020-02-01,HT0311-03,99740,7050,13320,13100,0.37,5040,5.32
2020-02-01,HT0312-01,16060,590,1060,1130,0.51,1180,7.94
2020-02-01,HT0312-02,13220,410,1140,1080,-0.43,-840,-6
2020-02-01,HT0313-01,16650,290,1380,1320,0.28,630,3.91
2020-02-01,HT0313-02,10650,270,600,610,0.18,250,2.37
2020-02-01,HT0313-03,30080,880,2650,2680,0.2,820,2.79
2020-02-01,HT0321-01,8680,330,630,640,-0.17,-240,-2.65
2020-02-01,HT0321-02,24900,690,2270,2250,0.46,1430,6.07
2020-02-01,HT0321-03,11510,330,980,960,0.74,1020,9.74
2020-02-01,HT0322-01,14760,350,1190,1170,0.82,1590,12.09
2020-02-01,HT0322-02,20560,690,1810,1790,0.99,2600,14.47
2020-02-01,HT0322-03,9030,400,640,650,-0.43,-620,-6.42
2020-02-01,HT0323-01,10700,380,790,760,1.37,1740,19.45
2020-02-01,HT0323-02,13170,960,1490,1510,-0.78,-1650,-11.11
2020-02-01,HT0323-03,9930,350,840,830,1.04,1170,13.37
2020-02-01,HT0331-01,3360,170,160,160,-1.22,-600,-15.11
2020-02-01,HT0331-05,6460,220,380,380,0.15,130,2.04
2020-02-01,HT0331-06,24000,1500,2560,2490,-0.15,-470,-1.93
2020-02-01,HT0332-01,5700,200,240,210,-0.64,-570,-9.05
2020-02-01,HT0332-02,11950,320,1270,1310,-0.78,-1490,-11.09
2020-02-01,HT0332-03,2970,230,70,70,-0.33,-140,-4.42
2020-02-01,HT0341-01,4600,140,180,170,-0.19,-120,-2.45
2020-02-01,HT0341-02,3020,80,70,80,-0.75,-350,-10.49
2020-02-01,HT0341-03,6680,220,520,560,-0.46,-440,-6.22
2020-02-01,HT0341-04,36330,430,4850,4770,-0.51,-3030,-7.7
2020-02-01,HT0342-01,5930,280,320,260,0.92,680,13.01
2020-02-01,HT0342-02,3880,200,110,120,0.59,290,8.09
2020-02-01,HT0342-03,5090,150,410,410,-1.38,-1270,-20.04
2020-02-01,HT0342-04,20790,820,1770,1790,1.31,3260,18.57
2020-02-01,HT0343-01,12290,470,1230,1250,-0.35,-670,-5.18
2020-02-01,HT0343-02,9480,300,850,830,0.64,810,9.34
2020-02-01,HT0343-03,5910,250,170,210,0.29,230,4.06
2020-02-01,HT0344-01,27840,460,3270,3250,-0.63,-2910,-9.46
2020-02-01,HT0344-02,15200,180,1240,1200,1.14,1900,14.31
2020-02-01,HT0345-01,9490,310,840,850,-0.41,-560,-5.62
2020-02-01,HT0351-01,9080,270,910,940,-1.31,-2270,-19.99
2020-02-01,HT0351-03,15630,510,1060,1030,0.99,1950,14.28
2020-02-01,HT0351-07,17860,450,1420,1430,0.33,730,4.28
2020-02-01,HT0352-02,24100,2830,2160,2120,0.95,2770,12.98
2020-02-01,HT0352-03,8500,330,670,670,1.15,1190,16.26
2020-02-01,HT0352-05,11270,390,960,950,1.76,2190,24.17
2020-02-01,HT0352-06,8160,310,460,480,0.02,30,0.35
2020-02-01,HT0361-03,7630,350,970,980,-1.24,-1600,-17.38
2020-02-01,HT0361-04,21180,1470,2190,2250,-0.02,-50,-0.22
2020-02-01,HT0361-05,69030,6350,10610,10470,-0.72,-7690,-10.03
2020-02-01,HT0362-02,15660,400,1740,1680,-1.12,-3370,-17.71
2020-02-01,HT0371-01,8090,630,570,590,0.87,860,11.91
2020-02-01,HT0371-05,6910,440,380,360,0.69,620,9.79
2020-02-01,HT0371-07,27770,2090,3410,3520,-0.26,-1110,-3.85
2020-02-01,HT0371-08,12080,500,1160,1170,1.04,1570,14.98
2020-02-01,HT0372-01,16200,720,2040,2020,-1.54,-4120,-20.27
2020-02-01,HT0372-02,4290,250,120,120,0.25,150,3.55
2020-02-01,HT0372-03,8130,510,740,740,1.35,1280,18.61
2020-02-01,HT0372-04,3220,370,70,70,0.19,80,2.68
2020-02-01,HT0372-08,7570,320,1000,1010,-0.95,-1260,-14.25
2020-02-01,HT0411-01,21510,250,670,670,-0.95,-1550,-6.73
2020-02-01,HT0412-01,13030,190,280,280,-1.31,-1170,-8.25
2020-02-01,HT0413-02,9020,370,320,320,-0.1,-70,-0.73
2020-02-01,HT0421-01,77310,1310,3910,3900,-0.94,-5660,-6.82
2020-02-01,HT0421-03,10010,210,130,130,1.31,840,9.13
2020-02-01,HT0422-01,10880,320,280,280,-0.12,-90,-0.83
2020-02-01,HT0423-01,17170,280,380,400,0.64,680,4.15
2020-02-01,HT0431-02,7870,170,310,330,1.32,670,9.35
2020-02-01,HT0431-03,39510,570,1870,1840,0.43,1140,2.96
2020-02-01,HT0432-06,8500,230,380,380,-1.29,-840,-8.96
2020-02-01,HT0433-01,18680,160,640,660,0.76,940,5.3
2020-02-01,HT0433-02,13080,260,470,480,0.71,670,5.4
2020-02-01,HT0434-01,6130,200,70,70,0.47,200,3.38
2020-02-01,HT0441-01,9730,120,400,380,-1.11,-840,-7.97
2020-02-01,HT0442-02,11010,340,170,170,0.97,720,6.99
2020-02-01,HT0443-01,14700,210,530,510,0.79,720,5.19
2020-02-01,HT0443-02,20680,160,600,620,1.12,1420,7.35
2020-02-01,HT0511-01,242100,2610,20940,20730,0.02,320,0.14
2020-02-01,HT0511-02,110940,590,9090,9230,-0.09,-750,-0.68
2020-02-01,HT0511-03,21570,130,1370,1370,-0.37,-620,-2.77
2020-02-01,HT0511-04,15000,290,1020,1010,-0.03,-30,-0.22
2020-02-01,HT0511-05,8420,130,470,470,-0.33,-230,-2.67
2020-02-01,HT0512-01,17730,290,1160,1150,0.36,510,2.97
2020-02-01,HT0512-02,16100,340,1110,1100,-0.49,-710,-4.22
2020-02-01,HT0512-03,5100,90,110,100,-0.02,-10,-0.14
2020-02-01,HT0512-04,11090,250,770,760,-1.16,-1060,-8.73
2020-02-01,HT0513-01,30610,550,1840,1880,0.32,740,2.48
2020-02-01,HT0513-02,16680,140,1250,1270,-0.66,-910,-5.17
2020-02-01,HT0521-01,8630,270,470,460,1.23,810,10.3
2020-02-01,HT0521-02,15060,380,740,660,0.7,910,6.42
2020-02-01,HT0521-03,63130,1720,4290,4380,1.23,5700,9.92
2020-02-01,HT0521-04,19330,490,1110,1160,0.87,1310,7.24
2020-02-01,HT0521-05,6130,190,110,110,0.25,120,2.02
2020-02-01,HT0521-06,25830,240,1350,1370,0.91,1770,7.36
2020-02-01,HT0521-07,13590,220,770,740,-1.08,-1370,-9.14
2020-02-01,HT0521-08,19850,410,1150,1150,0.97,1360,7.35
2020-02-01,HT0522-01,10660,120,650,640,-1.29,-1200,-10.13
2020-02-01,HT0522-02,7910,160,340,360,-1.47,-920,-10.43
2020-02-01,HT0522-03,11040,270,400,400,1.31,1000,9.93
2020-02-01,HT0523-01,11030,40,430,410,-0.6,-500,-4.34
2020-02-01,HT0523-02,79660,510,5170,5100,-0.39,-2310,-2.82
2020-02-01,HT0531-01,22870,450,1380,1340,-0.01,-20,-0.11
2020-02-01,HT0531-02,64410,460,4390,4450,0.08,460,0.72
2020-02-01,HT0531-03,10140,220,730,740,-1.25,-1140,-10.13
2020-02-01,HT0531-04,16450,170,1060,1030,0.07,90,0.56
2020-02-01,HT0531-05,57330,300,4610,4520,-1.03,-4710,-7.6
2020-02-01,HT0531-06,122770,3850,9280,9480,1.17,10960,9.8
2020-02-01,HT0532-01,46280,1380,3180,3100,1.14,3800,8.96
2020-02-01,HT0532-02,29110,470,1860,1800,1.12,2380,8.92
2020-02-01,HT0532-03,12520,400,870,860,-0.99,-1110,-8.12
2020-02-01,HT0532-04,32790,310,2240,2210,0.77,1800,5.82
2020-02-01,HT0532-05,24140,330,1880,1850,-1.14,-2160,-8.22
2020-02-01,HT0532-06,11350,280,700,660,-1.17,-1140,-9.16
2020-02-01,HT0533-01,18590,230,1490,1470,-1.16,-1960,-9.54
2020-02-01,HT0533-02,11090,170,770,760,-0.78,-790,-6.66
2020-02-01,HT0541-01,26620,700,2010,1960,-0.64,-1460,-5.19
2020-02-01,HT0541-02,32050,520,2170,2150,0.42,1000,3.21
2020-02-01,HT0541-03,73140,650,6100,6050,0.02,130,0.17
2020-02-01,HT0541-04,24320,250,1430,1440,1.28,2470,11.3
2020-02-01,HT0541-05,12290,270,670,680,0.32,320,2.64
2020-02-01,HT0542-01,41300,860,3160,3190,0.25,810,2
2020-02-01,HT0542-02,12290,370,860,900,-1.03,-1230,-9.1
2020-02-01,HT0542-03,76640,1190,5920,5830,1.44,8090,11.8
2020-02-01,HT0542-04,22180,150,1720,1720,-1.05,-2340,-9.55
2020-02-01,HT0542-05,14280,120,1020,1030,-1.27,-1530,-9.69
2020-02-01,HT0542-06,15590,160,1150,1120,-0.55,-790,-4.83
2020-02-01,HT0543-01,25430,500,1480,1500,0.8,1590,6.68
2020-02-01,HT0544-01,41250,410,2820,2860,0.47,1530,3.84
2020-02-01,HT0551-01,32840,420,2120,2150,0.9,2090,6.81
2020-02-01,HT0551-03,30420,790,1730,1690,1.55,3500,13.02
2020-02-01,HT0551-04,17920,270,1020,1040,0.64,860,5.02
2020-02-01,HT0551-05,10440,230,460,450,0.68,530,5.32
2020-02-01,HT0551-06,16730,160,900,920,1.49,1790,11.96
2020-02-01,HT0551-07,18980,190,1180,1220,-0.24,-400,-2.06
2020-02-01,HT0551-08,27740,220,1540,1550,0.88,1830,7.07
2020-02-01,HT0552-01,16090,360,930,990,-1.34,-1800,-10.08
2020-02-01,HT0552-03,9000,280,600,610,-0.19,-130,-1.38
2020-02-01,HT0611-01,57060,320,3900,4040,-1.09,-4550,-7.38
2020-02-01,HT0611-02,17200,160,620,630,0.52,560,3.34
2020-02-01,HT0611-03,21530,170,810,850,-1.16,-1690,-7.28
2020-02-01,HT0611-04,22550,130,940,950,-0.22,-340,-1.5
2020-02-01,HT0612-01,36490,340,1990,2010,0.45,1080,3.06
2020-02-01,HT0612-02,9620,140,380,400,0.68,400,4.31
2020-02-01,HT0612-03,13900,120,590,600,-0.2,-190,-1.32
2020-02-01,HT0613-01,27640,240,1080,1120,1.57,2400,9.5
2020-02-01,HT0613-02,13940,190,500,510,-0.48,-440,-3.03
2020-02-01,HT0613-03,6290,100,180,190,-0.52,-230,-3.52
2020-02-01,HT0613-04,15670,140,630,600,-0.62,-620,-3.84
2020-02-01,HT0614-01,22720,150,870,870,-0.16,-260,-1.13
2020-02-01,HT0621-01,43810,620,2250,2190,1.03,2880,7.03
2020-02-01,HT0621-02,7110,70,130,130,0.34,160,2.23
2020-02-01,HT0621-03,11430,140,550,560,-0.31,-250,-2.14
2020-02-01,HT0621-04,79440,1070,5030,4930,0.23,1130,1.45
2020-02-01,HT0622-01,15400,330,720,700,1.43,1230,8.65
2020-02-01,HT0622-02,10040,170,490,470,-0.5,-340,-3.24
2020-02-01,HT0622-03,8860,250,530,550,0.34,210,2.43
2020-02-01,HT0623-01,10190,110,440,440,0.98,670,7.01
2020-02-01,HT0623-02,20370,170,1120,1170,-1.18,-1680,-7.61
2020-02-01,HT0623-03,25740,180,1110,1070,1.59,2580,11.15
2020-02-01,HT0631-01,13910,200,580,600,-0.49,-430,-3
2020-02-01,HT0631-02,29040,370,1330,1380,-0.84,-1640,-5.33
2020-02-01,HT0632-01,47260,360,2000,1870,-0.65,-2060,-4.18
2020-02-01,HT0632-02,19360,190,660,670,1.36,1560,8.77
2020-02-01,HT0632-03,18890,280,650,660,0.65,790,4.34
2020-02-01,HT0633-01,9280,180,360,360,1.17,610,7.01
2020-02-01,HT0633-02,26400,230,890,890,0.48,770,3.01
2020-02-01,HT0641-01,19360,130,320,320,-0.41,-580,-2.91
2020-02-01,HT0641-02,23380,190,740,700,-0.34,-530,-2.21
2020-02-01,HT0641-03,12900,150,230,220,0.93,740,6.06
2020-02-01,HT0642-01,38440,330,1680,1710,0.25,610,1.62
2020-02-01,HT0642-02,24590,200,880,920,-1.35,-2620,-9.62
2020-02-01,HT0711-01,67830,1290,5390,5530,-0.51,-4960,-6.82
2020-02-01,HT0711-02,7300,180,280,270,-0.52,-560,-7.12
2020-02-01,HT0711-03,11710,320,440,440,0.38,580,5.18
2020-02-01,HT0711-04,41490,1700,2620,2620,0.02,110,0.27
2020-02-01,HT0711-05,6930,240,160,160,-0.67,-690,-9.03
2020-02-01,HT0711-06,7250,200,300,300,-1.18,-1280,-14.95
2020-02-01,HT0712-01,29790,700,1360,1320,0.56,2160,7.81
2020-02-01,HT0712-02,16510,340,850,840,-0.46,-1090,-6.19
2020-02-01,HT0712-03,18400,340,720,730,-0.04,-110,-0.59
2020-02-01,HT0713-01,6270,250,110,80,-0.51,-510,-7.56
2020-02-01,HT0713-02,14350,450,620,600,-0.43,-900,-5.93
2020-02-01,HT0713-03,9820,100,290,290,-0.51,-710,-6.72
2020-02-01,HT0714-01,13550,500,530,530,-0.22,-410,-2.97
2020-02-01,HT0714-02,21760,320,670,630,1.1,2830,14.96
2020-02-01,HT0714-03,9940,310,110,110,0,0,0.01
2020-02-01,HT0715-01,9600,320,160,170,0.69,830,9.5
2020-02-01,HT0715-03,8710,160,90,120,-0.01,-10,-0.08
2020-02-01,HT0716-01,14310,310,300,350,-0.07,-130,-0.93
2020-02-01,HT0721-01,11880,270,570,510,-0.69,-1200,-9.2
2020-02-01,HT0722-01,9280,370,420,460,-0.16,-220,-2.35
2020-02-01,HT0722-02,5910,280,90,70,-0.73,-710,-10.72
2020-02-01,HT0722-03,9600,420,270,280,1.27,1530,18.97
2020-02-01,HT0723-02,17950,540,610,650,1.43,3150,21.26
2020-02-01,HT0723-03,9290,1040,440,440,-0.65,-960,-9.35
2020-02-01,HT0731-01,8880,110,320,320,0.37,440,5.23
2020-02-01,HT0731-02,15530,390,660,690,-0.53,-1270,-7.55
2020-02-01,HT0731-03,12380,310,410,410,-1.06,-2070,-14.33
2020-02-01,HT0731-04,7480,50,80,80,1.26,1180,18.71
2020-02-01,HT0731-05,7580,290,160,180,0.05,50,0.63
2020-02-01,HT0731-06,15080,220,650,630,-0.83,-1840,-10.89
2020-02-01,HT0731-07,11450,90,660,670,-0.04,-60,-0.52
2020-02-01,HT0731-08,7380,250,110,110,0.15,150,2.11
2020-02-01,HT0731-09,6710,140,390,390,-1.22,-1290,-16.17
2020-02-01,HT0731-10,9720,230,350,350,0.19,240,2.52
2020-02-01,HT0732-02,18680,650,700,750,0.8,1890,11.26
2020-02-01,HT0732-03,9470,370,410,430,-1.32,-2110,-18.24
2020-02-01,HT0732-04,7380,300,100,100,-0.41,-430,-5.51
2020-02-01,HT0732-06,7460,320,150,150,0.82,760,11.27
2020-02-01,HT0733-01,12750,220,510,470,-1.2,-2750,-17.75
2020-02-01,HT0733-02,11360,200,400,410,-1.14,-1950,-14.64
2020-02-01,HT0742-01,13310,600,300,290,1.08,1860,16.26
2020-02-01,HT0743-01,13950,510,470,510,0.95,1510,12.16
2020-02-01,HT0751-01,8960,170,120,120,0.03,40,0.42
2020-02-01,HT0751-03,8310,430,80,80,-0.4,-490,-5.6
2020-02-01,HT0752-03,16120,310,490,460,-1.19,-3240,-16.72
2020-02-01,HT0811-01,7380,230,120,120,0.34,210,2.95
2020-02-01,HT0811-02,12130,230,260,260,-1.33,-1490,-10.92
2020-02-01,HT0811-03,21470,160,450,390,-0.26,-460,-2.11
2020-02-01,HT0811-05,11500,290,280,280,-1.26,-1190,-9.35
2020-02-01,HT0811-06,15160,340,270,270,0.81,960,6.75
2020-02-01,HT0811-07,7680,260,190,190,-0.12,-90,-1.1
2020-02-01,HT0811-08,23400,900,540,520,-0.31,-620,-2.59
2020-02-01,HT0811-09,21460,640,480,460,-1.25,-2380,-9.98
2020-02-01,HT0812-04,10450,370,160,170,0.73,600,6.1
2020-02-01,HT0814-01,12570,570,290,300,-1.4,-1570,-11.13
2020-02-01,HT0814-03,9780,200,160,160,-0.81,-690,-6.6
2020-02-01,HT0815-01,12490,440,200,190,-0.23,-250,-1.92
2020-02-01,HT0815-02,13710,300,230,220,0.76,890,6.9
2020-02-01,HT0821-01,16860,1280,190,180,1.69,2150,14.6
2020-02-01,HT0822-03,13690,810,110,110,0.16,190,1.44
2020-02-01,HT0823-01,10970,160,80,110,-1.43,-1410,-11.39
2020-02-01,HT0831-01,10100,200,140,140,-0.34,-260,-2.52
2020-02-01,HT0832-02,12480,130,270,270,0.39,400,3.28
2020-02-01,HT0832-03,7150,230,140,140,-1.15,-750,-9.52
2020-02-01,HT0832-04,8670,220,160,160,1.37,890,11.37
2020-02-01,HT0833-01,17090,180,270,270,-1.09,-1570,-8.43
2020-02-01,HT0834-02,19640,530,390,390,-0.5,-840,-4.09
2020-02-01,HT0834-04,10570,130,130,130,0.06,60,0.52
2020-02-01,HT0911-01,65300,4000,2660,2810,1.29,4350,7.14
2020-02-01,HT0911-02,9690,480,370,370,-0.76,-440,-4.36
2020-02-01,HT0911-03,107820,5040,4980,4880,0.75,4010,3.87
2020-02-01,HT0911-04,27950,270,800,780,-0.73,-1090,-3.76
2020-02-01,HT0911-05,14810,120,330,330,-1.64,-1250,-7.78
2020-02-01,HT0911-06,10840,150,340,340,-0.75,-430,-3.78
2020-02-01,HT0912-01,19820,310,700,720,-0.51,-520,-2.57
2020-02-01,HT0912-02,21820,190,710,720,-0.24,-260,-1.2
2020-02-01,HT0913-01,12210,210,430,450,0.35,220,1.81
2020-02-01,HT0913-02,13660,150,390,380,0.71,490,3.69
2020-02-01,HT0913-03,51350,800,1970,1970,-0.27,-770,-1.48
2020-02-01,HT0914-01,18160,690,670,650,-0.42,-430,-2.3
2020-02-01,HT0914-02,14430,530,490,480,0.43,330,2.35
2020-02-01,HT0921-01,11740,870,360,350,-0.23,-130,-1.14
2020-02-01,HT0921-02,44530,3390,1780,1750,0.73,1680,3.92
2020-02-01,HT0921-03,24910,1000,1060,1060,-1.53,-2070,-7.69
2020-02-01,HT0921-04,18540,880,610,600,0.22,210,1.13
2020-02-01,HT0921-05,14860,730,460,470,-1.09,-950,-6.04
2020-02-01,HT0921-06,7440,360,200,200,-0.51,-200,-2.64
2020-02-01,HT0922-02,6830,280,160,160,1.19,410,6.42
2020-02-01,HT0922-03,13340,690,380,380,-0.9,-690,-4.88
2020-02-01,HT0931-01,16740,100,270,260,-0.24,-190,-1.1
2020-02-01,HT0931-02,17540,580,270,270,-1.02,-990,-5.34
2020-02-01,HT0932-03,17170,470,400,400,-0.14,-130,-0.76
2020-02-01,HT0933-01,15660,180,260,250,1.03,830,5.56
2020-02-01,HT0933-02,15720,230,240,240,0.83,630,4.19
2020-02-01,HT0933-03,9630,340,120,120,0.8,370,3.95
2020-02-01,HT0934-01,32610,240,780,780,0.95,1570,5.05
2020-02-01,HT0934-02,26360,250,620,640,-0.29,-410,-1.54
2020-02-01,HT0934-03,30900,310,850,850,-0.66,-1130,-3.54
