date,pcod_from,pcod_to,relocations,relocations_diffwithref,abnormality,relocations_pctchangewithref
2020-02-01,HT0111-01,HT0142-04,100,80,2.48,83.77
2020-02-01,HT0111-01,HT0151-02,610,-80,-0.9,-38.41
2020-02-01,HT0111-01,HT0211-01,700,30,0.39,2.68
2020-02-01,HT0111-01,HT0211-03,140,-80,-0.79,-18.09
2020-02-01,HT0111-01,HT0211-04,190,180,3.46,106.29
2020-02-01,HT0111-01,HT0211-06,210,-370,-0.92,-47.1
2020-02-01,HT0111-01,HT0211-07,90,90,1.28,26.57
2020-02-01,HT0111-01,HT0211-08,60,-80,-1.1,-34.22
2020-02-01,HT0111-01,HT0211-10,70,-20,-0.01,-7.22
2020-02-01,HT0111-01,HT0211-11,270,160,2.23,50.7
2020-02-01,HT0111-01,HT0212-01,630,480,2.23,81.41
2020-02-01,HT0111-01,HT0212-02,100,-100,-0.3,-10.04
2020-02-01,HT0111-01,HT0212-03,400,360,1.59,39.96
2020-02-01,HT0111-01,HT0212-04,260,60,0.27,8.34
2020-02-01,HT0111-01,HT0212-05,330,380,1.42,67.71
2020-02-01,HT0111-01,HT0213-01,290,310,6.54,113.82
2020-02-01,HT0111-01,HT0213-02,210,-30,-0.4,-4.58
2020-02-01,HT0111-01,HT0213-03,90,30,0.56,23.8
2020-02-01,HT0111-01,HT0213-04,90,-20,0,-6.77
2020-02-01,HT0111-01,HT0214-03,90,10,0.19,7.16
2020-02-01,HT0111-01,HT0221-01,80,50,2.2,52.13
2020-02-01,HT0111-01,HT0221-02,80,190,4.16,88.64
2020-02-01,HT0111-01,HT0221-05,80,20,0.33,12.23
2020-02-01,HT0111-01,HT0221-09,60,-10,0.06,-6.57
2020-02-01,HT0111-01,HT0222-01,70,0,0.44,1.79
2020-02-01,HT0111-01,HT0222-06,60,0,0.06,-4.18
2020-02-01,HT0111-01,HT0231-01,170,130,0.98,37.53
2020-02-01,HT0111-01,HT0231-02,110,10,0.19,2.43
2020-02-01,HT0111-01,HT0231-04,130,250,2.53,61.66
2020-02-01,HT0111-01,HT0231-05,90,-90,-0.61,-27.42
2020-02-01,HT0111-01,HT0231-07,130,140,1.38,65.26
2020-02-01,HT0111-01,HT0232-01,60,-80,-1.04,-30.92
2020-02-01,HT0111-01,HT0233-01,90,-60,-0.72,-25.42
2020-02-01,HT0111-01,HT0234-01,90,80,0.83,35.65
2020-02-01,HT0111-01,HT0311-01,100,-70,-1.06,-33.36
2020-02-01,HT0111-01,HT0311-02,680,-560,-0.55,-33.95
2020-02-01,HT0111-01,HT0311-03,1220,1010,2.48,96.63
2020-02-01,HT0111-01,HT0312-01,130,20,0.34,13.42
2020-02-01,HT0111-01,HT0312-02,80,-30,-0.23,-22.65
2020-02-01,HT0111-01,HT0313-01,100,-30,-0.45,-11.03
2020-02-01,HT0111-01,HT0313-03,120,-100,-1.25,-34.02
2020-02-01,HT0111-01,HT0321-01,70,0,0.42,-0.13
2020-02-01,HT0111-01,HT0321-02,190,30,0.2,9.77
2020-02-01,HT0111-01,HT0321-03,60,-60,-0.52,-23.94
2020-02-01,HT0111-01,HT0322-01,60,-90,-0.83,-44.05
2020-02-01,HT0111-01,HT0322-02,170,50,0.4,22.79
2020-02-01,HT0111-01,HT0323-02,170,130,2.19,50.14
2020-02-01,HT0111-01,HT0323-03,80,20,0.8,13.15
2020-02-01,HT0111-01,HT0331-06,190,-40,-0.3,-12.4
2020-02-01,HT0111-01,HT0332-01,70,20,1.28,38.83
2020-02-01,HT0111-01,HT0332-02,90,-60,-0.56,-23.87
2020-02-01,HT0111-01,HT0341-03,90,80,1.2,51.97
2020-02-01,HT0111-01,HT0341-04,400,10,0.13,2.68
2020-02-01,HT0111-01,HT0342-02,60,40,3.13,94.21
2020-02-01,HT0111-01,HT0342-04,140,-20,-0.19,-7.17
2020-02-01,HT0111-01,HT0343-01,110,20,0.05,9.47
2020-02-01,HT0111-01,HT0343-03,60,30,1.92,50.1
2020-02-01,HT0111-01,HT0344-01,270,50,0.73,12.85
2020-02-01,HT0111-01,HT0344-02,100,-20,-0.13,-10.16
2020-02-01,HT0111-01,HT0345-01,80,30,0.14,14.99
2020-02-01,HT0111-01,HT0351-01,160,160,6.13,108.62
2020-02-01,HT0111-01,HT0351-03,80,-20,-0.78,-18.43
2020-02-01,HT0111-01,HT0351-07,80,-60,-1.29,-32.01
2020-02-01,HT0111-01,HT0352-02,110,-60,-0.81,-24.59
2020-02-01,HT0111-01,HT0352-05,90,120,1.93,46.13
2020-02-01,HT0111-01,HT0352-06,100,70,1.67,78.51
2020-02-01,HT0111-01,HT0361-04,270,160,2.8,61.74
2020-02-01,HT0111-01,HT0361-05,390,-320,-1.18,-35.96
2020-02-01,HT0111-01,HT0362-02,120,-30,-0.12,-15.1
2020-02-01,HT0111-01,HT0371-07,190,-70,-0.41,-21.28
2020-02-01,HT0111-01,HT0371-08,60,-90,-1.4,-33.72
2020-02-01,HT0111-01,HT0372-01,170,50,1.29,25.42
2020-02-01,HT0111-01,HT0412-01,70,80,3.38,89.82
2020-02-01,HT0111-01,HT0421-01,180,-100,-0.47,-16.67
2020-02-01,HT0111-01,HT0431-03,110,-50,0,-12.51
2020-02-01,HT0111-01,HT0443-01,60,80,0.67,40.88
2020-02-01,HT0111-01,HT0443-02,100,120,2.67,75.97
2020-02-01,HT0111-01,HT0511-01,630,-670,-0.49,-27.36
2020-02-01,HT0111-01,HT0511-02,640,610,1.44,60.36
2020-02-01,HT0111-01,HT0511-03,160,130,2.01,57.95
2020-02-01,HT0111-01,HT0511-04,100,170,1.81,66.59
2020-02-01,HT0111-01,HT0512-01,90,40,0,12.71
2020-02-01,HT0111-01,HT0513-01,70,-90,-0.27,-44.2
2020-02-01,HT0111-01,HT0521-03,190,-10,-0.32,-1.16
2020-02-01,HT0111-01,HT0521-06,60,-50,-0.85,-23.49
2020-02-01,HT0111-01,HT0523-02,260,-30,-0.2,-5.48
2020-02-01,HT0111-01,HT0531-01,130,70,0.76,32
2020-02-01,HT0111-01,HT0531-02,200,-120,-1.43,-21.18
2020-02-01,HT0111-01,HT0531-04,120,120,1.7,46.67
2020-02-01,HT0111-01,HT0531-05,160,-170,-0.89,-28.12
2020-02-01,HT0111-01,HT0531-06,270,-510,-1.16,-43.35
2020-02-01,HT0111-01,HT0532-01,200,-20,0,-4.16
2020-02-01,HT0111-01,HT0532-02,210,130,1.02,33.13
2020-02-01,HT0111-01,HT0532-03,120,60,0.63,21.13
2020-02-01,HT0111-01,HT0532-04,190,-50,0,-8.84
2020-02-01,HT0111-01,HT0532-05,150,-40,0.43,-10.8
2020-02-01,HT0111-01,HT0533-01,150,-110,-0.7,-20.56
2020-02-01,HT0111-01,HT0533-02,70,-80,-0.76,-28.6
2020-02-01,HT0111-01,HT0541-01,170,140,1.39,41.02
2020-02-01,HT0111-01,HT0541-02,80,-140,-0.67,-42.02
2020-02-01,HT0111-01,HT0541-03,310,-140,-0.23,-14.29
2020-02-01,HT0111-01,HT0541-04,150,40,0,12.2
2020-02-01,HT0111-01,HT0541-05,110,100,1.79,48.63
2020-02-01,HT0111-01,HT0542-01,150,-140,-0.92,-26.88
2020-02-01,HT0111-01,HT0542-02,120,150,1.88,53.24
2020-02-01,HT0111-01,HT0542-03,460,20,0.02,2
2020-02-01,HT0111-01,HT0542-04,150,-140,-1.54,-26.81
2020-02-01,HT0111-01,HT0542-05,70,-130,-0.42,-30.83
2020-02-01,HT0111-01,HT0542-06,240,400,3.6,81.62
2020-02-01,HT0111-01,HT0543-01,80,-20,-0.37,-9.29
2020-02-01,HT0111-01,HT0544-01,120,-90,-0.65,-24.54
2020-02-01,HT0111-01,HT0551-01,120,-90,-0.58,-19.48
2020-02-01,HT0111-01,HT0551-03,170,80,0.23,19.73
2020-02-01,HT0111-01,HT0551-04,140,240,2.02,70.57
2020-02-01,HT0111-01,HT0551-06,120,130,1.44,39.08
2020-02-01,HT0111-01,HT0551-07,70,-90,-1.02,-31.79
2020-02-01,HT0111-01,HT0551-08,100,-110,-1.21,-32.53
2020-02-01,HT0111-01,HT0552-01,200,230,3.91,97.71
2020-02-01,HT0111-01,HT0611-01,620,1030,3.34,123.85
2020-02-01,HT0111-01,HT0611-03,60,-40,-0.41,-18.93
2020-02-01,HT0111-01,HT0612-01,160,20,0,3.35
2020-02-01,HT0111-01,HT0612-02,90,190,5,111.55
2020-02-01,HT0111-01,HT0612-03,90,70,0.79,34.74
2020-02-01,HT0111-01,HT0613-01,80,-50,-0.64,-17.78
2020-02-01,HT0111-01,HT0613-04,70,60,1.61,28.33
2020-02-01,HT0111-01,HT0614-01,90,50,0.55,23.28
2020-02-01,HT0111-01,HT0621-01,280,320,2.21,58.44
2020-02-01,HT0111-01,HT0621-04,540,510,0.73,39.29
2020-02-01,HT0111-01,HT0622-01,70,-70,-1.56,-25.22
2020-02-01,HT0111-01,HT0622-02,60,-50,-0.63,-22.38
2020-02-01,HT0111-01,HT0622-03,60,-60,-1.49,-13.77
2020-02-01,HT0111-01,HT0623-02,110,20,-0.44,4.17
2020-02-01,HT0111-01,HT0623-03,140,90,0.91,28.27
2020-02-01,HT0111-01,HT0631-02,80,-50,-0.14,-16.88
2020-02-01,HT0111-01,HT0632-01,70,-170,-1.24,-45.33
2020-02-01,HT0111-01,HT0633-02,60,-30,-0.53,-15.18
2020-02-01,HT0111-01,HT0641-02,110,140,1.68,70.26
2020-02-01,HT0111-01,HT0642-01,170,140,1.18,41.91
2020-02-01,HT0111-01,HT0642-02,120,140,2.46,69.64
2020-02-01,HT0111-01,HT0711-01,390,250,3.88,86.3
2020-02-01,HT0111-01,HT0711-04,90,-50,-0.59,-28.29
2020-02-01,HT0111-01,HT0712-01,60,-20,-1.73,-15.75
2020-02-01,HT0111-01,HT0712-03,70,30,0.26,36.95
2020-02-01,HT0111-01,HT0714-02,60,10,0.63,12.4
2020-02-01,HT0111-01,HT0716-01,60,20,0.97,32.73
2020-02-01,HT0111-01,HT0731-03,80,50,2.22,73.74
2020-02-01,HT0111-01,HT0731-06,90,30,0.58,31.48
2020-02-01,HT0111-01,HT0731-07,80,80,1.6,53.22
2020-02-01,HT0111-01,HT0731-10,60,30,1.53,44.08
2020-02-01,HT0111-01,HT0732-02,70,50,1.29,38.71
2020-02-01,HT0111-01,HT0733-02,80,80,2.31,98.29
2020-02-01,HT0111-01,HT0743-01,60,80,2.65,73.24
2020-02-01,HT0111-01,HT0911-01,150,110,1.01,22.87
2020-02-01,HT0111-01,HT0911-03,130,-270,-1.01,-35.26
2020-02-01,HT0111-01,HT0911-04,70,90,1.15,47.27
2020-02-01,HT0111-01,HT0911-05,60,110,5.38,119.23
2020-02-01,HT0111-01,HT0912-02,70,120,1.46,63.74
2020-02-01,HT0111-01,HT0913-03,70,-110,-0.66,-27.92
2020-02-01,HT0111-01,HT0921-02,70,-60,-0.69,-18.19
2020-02-01,HT0111-01,HT0921-03,80,120,2.12,53.81
2020-02-01,HT0111-01,HT0921-04,70,140,3.31,88.79
2020-02-01,HT0111-01,HT0934-03,70,90,1.64,47.71
2020-02-01,HT0111-01,HT1011-01,140,-190,-0.69,-37.97
2020-02-01,HT0111-01,HT1013-02,60,50,0.79,40.01
2020-02-01,HT0111-01,HT1022-01,60,70,8.62,143.43
2020-02-01,HT0111-02,HT0111-01,14970,5820,2.08,52.55
2020-02-01,HT0111-02,HT0111-03,1800,-1780,-1.1,-45.84
2020-02-01,HT0111-02,HT0112-01,2000,-1260,-0.94,-35.93
2020-02-01,HT0111-02,HT0113-09,970,450,2.13,70.01
2020-02-01,HT0111-02,HT0113-10,800,-760,-0.82,-46.74
2020-02-01,HT0111-02,HT0113-11,780,10,0.04,0.86
2020-02-01,HT0111-02,HT0114-01,420,-30,-0.63,-6.46
2020-02-01,HT0111-02,HT0114-03,3390,1130,0.83,42.31
2020-02-01,HT0111-02,HT0114-05,1900,720,0.85,55.72
2020-02-01,HT0111-02,HT0115-01,130,-40,0,-13.26
2020-02-01,HT0111-02,HT0116-02,70,60,1.32,55.49
2020-02-01,HT0111-02,HT0117-01,3270,760,0.72,26.9
2020-02-01,HT0111-02,HT0117-02,320,-30,0.13,-7.66
2020-02-01,HT0111-02,HT0118-03,610,-130,-0.58,-16.69
2020-02-01,HT0111-02,HT0118-04,270,-40,-0.26,-14.86
2020-02-01,HT0111-02,HT0121-01,120,-90,-0.43,-26.98
2020-02-01,HT0111-02,HT0121-02,60,0,0.04,-1.41
2020-02-01,HT0111-02,HT0122-11,110,-110,-0.86,-30.35
2020-02-01,HT0111-02,HT0131-01,230,40,0.55,24.85
2020-02-01,HT0111-02,HT0131-02,900,80,0,11.75
2020-02-01,HT0111-02,HT0131-03,220,-90,-1.45,-25.97
2020-02-01,HT0111-02,HT0141-03,110,-110,-1.68,-32.85
2020-02-01,HT0111-02,HT0142-01,220,-50,-0.28,-9.15
2020-02-01,HT0111-02,HT0151-02,100,-10,-1.09,-41.84
2020-02-01,HT0111-02,HT0211-01,120,0,0.23,0.7
2020-02-01,HT0111-02,HT0212-01,110,80,1.64,71.99
2020-02-01,HT0111-02,HT0212-03,60,50,1.52,33.03
2020-02-01,HT0111-02,HT0311-02,100,-100,-0.59,-37.05
2020-02-01,HT0111-02,HT0311-03,190,150,2.12,85.66
2020-02-01,HT0111-02,HT0341-04,60,0,0.06,2.05
2020-02-01,HT0111-02,HT0361-05,60,-50,-1.31,-37.52
2020-02-01,HT0111-02,HT0511-01,100,-140,-0.47,-33
2020-02-01,HT0111-02,HT0511-02,100,90,1.32,50.91
2020-02-01,HT0111-02,HT0542-03,70,0,0.04,-0.44
2020-02-01,HT0111-02,HT0611-01,90,150,2.98,113.92
2020-02-01,HT0111-02,HT0621-04,80,70,0.5,31.48
2020-02-01,HT0111-02,HT0711-01,60,40,2.82,72.84
2020-02-01,HT0111-03,HT0111-01,26990,11880,3.17,63.95
2020-02-01,HT0111-03,HT0111-02,2250,-1010,-0.39,-25.71
2020-02-01,HT0111-03,HT0112-01,5350,-2730,-0.83,-31.22
2020-02-01,HT0111-03,HT0113-02,150,-20,-0.15,-14.78
2020-02-01,HT0111-03,HT0113-03,60,0,-0.13,0.87
2020-02-01,HT0111-03,HT0113-04,100,-50,-0.31,-31.56
2020-02-01,HT0111-03,HT0113-07,120,-10,-0.18,-7.39
2020-02-01,HT0111-03,HT0113-08,60,10,0.16,6.85
2020-02-01,HT0111-03,HT0113-09,6200,3260,2.95,88.66
2020-02-01,HT0111-03,HT0113-10,3880,-3250,-0.61,-43.66
2020-02-01,HT0111-03,HT0113-11,3340,170,0.42,5.41
2020-02-01,HT0111-03,HT0114-01,1000,30,-0.32,4.01
2020-02-01,HT0111-03,HT0114-03,6060,2450,1.5,56.56
2020-02-01,HT0111-03,HT0114-04,160,-20,0.11,-6.22
2020-02-01,HT0111-03,HT0114-05,5790,2580,1.17,73.16
2020-02-01,HT0111-03,HT0115-01,390,-60,0.01,-6.62
2020-02-01,HT0111-03,HT0115-02,110,90,1.31,52.69
2020-02-01,HT0111-03,HT0115-03,120,-70,-0.2,-18.52
2020-02-01,HT0111-03,HT0116-02,280,270,2.01,76.5
2020-02-01,HT0111-03,HT0117-01,9270,2850,1.17,38.77
2020-02-01,HT0111-03,HT0117-02,870,20,0.19,1.86
2020-02-01,HT0111-03,HT0118-03,1770,-140,-0.32,-6.83
2020-02-01,HT0111-03,HT0118-04,830,-30,0,-4.8
2020-02-01,HT0111-03,HT0121-01,440,-260,-0.36,-21.82
2020-02-01,HT0111-03,HT0121-02,230,20,0.14,3.05
2020-02-01,HT0111-03,HT0121-03,60,-10,-0.3,-9.72
2020-02-01,HT0111-03,HT0122-11,410,-250,-0.63,-22.1
2020-02-01,HT0111-03,HT0123-01,120,-150,-0.49,-34.75
2020-02-01,HT0111-03,HT0123-07,140,-10,0,-3.81
2020-02-01,HT0111-03,HT0131-01,660,170,0.95,38.82
2020-02-01,HT0111-03,HT0131-02,2830,400,0.06,19.82
2020-02-01,HT0111-03,HT0131-03,710,-210,-1.25,-20.14
2020-02-01,HT0111-03,HT0131-05,120,90,0.76,35.29
2020-02-01,HT0111-03,HT0131-09,70,10,0.71,20.1
2020-02-01,HT0111-03,HT0132-01,70,-80,-1.07,-37.69
2020-02-01,HT0111-03,HT0132-04,150,-40,-0.5,-12
2020-02-01,HT0111-03,HT0133-03,80,-30,-0.59,-18.02
2020-02-01,HT0111-03,HT0133-05,70,0,0.03,-0.29
2020-02-01,HT0111-03,HT0135-01,60,-110,-0.67,-46.66
2020-02-01,HT0111-03,HT0141-03,430,-370,-1.6,-30.1
2020-02-01,HT0111-03,HT0142-01,870,-60,-0.11,-3.33
2020-02-01,HT0111-03,HT0142-03,70,40,2.23,82.5
2020-02-01,HT0111-03,HT0142-04,60,50,2.89,82.56
2020-02-01,HT0111-03,HT0151-02,360,-40,-0.79,-35.8
2020-02-01,HT0111-03,HT0211-01,450,50,0.36,5.83
2020-02-01,HT0111-03,HT0211-03,90,-50,-0.6,-16.94
2020-02-01,HT0111-03,HT0211-04,130,130,3.02,105.53
2020-02-01,HT0111-03,HT0211-06,130,-220,-0.86,-45.6
2020-02-01,HT0111-03,HT0211-07,60,70,1.43,32.22
2020-02-01,HT0111-03,HT0211-11,160,100,2.35,54.02
2020-02-01,HT0111-03,HT0212-01,380,310,2.69,92.49
2020-02-01,HT0111-03,HT0212-02,60,-40,-0.21,-7.26
2020-02-01,HT0111-03,HT0212-03,200,180,1.72,41.16
2020-02-01,HT0111-03,HT0212-04,130,20,0.23,6.79
2020-02-01,HT0111-03,HT0212-05,170,200,1.46,72.18
2020-02-01,HT0111-03,HT0213-01,190,200,7.62,112.05
2020-02-01,HT0111-03,HT0213-02,140,0,-0.16,-1.06
2020-02-01,HT0111-03,HT0213-03,60,30,1.12,28.72
2020-02-01,HT0111-03,HT0213-04,60,0,0.08,-2.2
2020-02-01,HT0111-03,HT0214-03,60,10,0.17,5.69
2020-02-01,HT0111-03,HT0231-01,80,70,1,39.78
2020-02-01,HT0111-03,HT0231-04,70,140,3.41,73.3
2020-02-01,HT0111-03,HT0231-07,70,80,1.62,72.58
2020-02-01,HT0111-03,HT0311-02,370,-280,-0.44,-32.28
2020-02-01,HT0111-03,HT0311-03,670,580,3.16,106.76
2020-02-01,HT0111-03,HT0312-01,70,10,0.32,13.39
2020-02-01,HT0111-03,HT0313-03,70,-50,-1.02,-32.32
2020-02-01,HT0111-03,HT0321-02,100,10,0.27,9.6
2020-02-01,HT0111-03,HT0322-02,90,30,1.11,25.26
2020-02-01,HT0111-03,HT0323-02,90,70,2.03,53.8
2020-02-01,HT0111-03,HT0331-06,100,-20,-0.19,-12.12
2020-02-01,HT0111-03,HT0341-04,220,20,0.25,8.88
2020-02-01,HT0111-03,HT0342-04,80,0,-0.02,-1.2
2020-02-01,HT0111-03,HT0343-01,60,10,0.16,10.8
2020-02-01,HT0111-03,HT0344-01,140,30,0.74,15.77
2020-02-01,HT0111-03,HT0351-01,90,100,8.18,113.4
2020-02-01,HT0111-03,HT0352-02,60,-30,-0.72,-24.71
2020-02-01,HT0111-03,HT0352-06,60,40,1.67,80.57
2020-02-01,HT0111-03,HT0361-04,150,90,2.38,62.74
2020-02-01,HT0111-03,HT0361-05,220,-180,-0.87,-36.14
2020-02-01,HT0111-03,HT0362-02,70,-20,-0.1,-13.7
2020-02-01,HT0111-03,HT0371-07,110,-30,-0.45,-16.54
2020-02-01,HT0111-03,HT0372-01,100,30,0.91,25.09
2020-02-01,HT0111-03,HT0421-01,100,-50,-0.38,-16.84
2020-02-01,HT0111-03,HT0431-03,60,-20,-0.01,-10.85
2020-02-01,HT0111-03,HT0511-01,370,-370,-0.26,-26.2
2020-02-01,HT0111-03,HT0511-02,370,360,1.7,63.41
2020-02-01,HT0111-03,HT0511-03,90,80,1.94,63.25
2020-02-01,HT0111-03,HT0511-04,60,110,1.89,74.05
2020-02-01,HT0111-03,HT0521-03,110,0,-0.19,1.35
2020-02-01,HT0111-03,HT0523-02,150,-20,-0.19,-6.21
2020-02-01,HT0111-03,HT0531-01,80,50,0.89,39.45
2020-02-01,HT0111-03,HT0531-02,120,-60,-1.55,-19.2
2020-02-01,HT0111-03,HT0531-04,70,80,2.74,56.37
2020-02-01,HT0111-03,HT0531-05,90,-90,-0.75,-26.68
2020-02-01,HT0111-03,HT0531-06,160,-290,-0.97,-42.2
2020-02-01,HT0111-03,HT0532-01,120,-10,0.2,-2.53
2020-02-01,HT0111-03,HT0532-02,120,80,1.16,35.77
2020-02-01,HT0111-03,HT0532-03,70,40,0.91,26.95
2020-02-01,HT0111-03,HT0532-04,110,-20,0.1,-6.3
2020-02-01,HT0111-03,HT0532-05,90,-20,0.41,-8.35
2020-02-01,HT0111-03,HT0533-01,80,-50,-0.7,-18.75
2020-02-01,HT0111-03,HT0541-01,100,80,1.1,42.67
2020-02-01,HT0111-03,HT0541-03,180,-70,-0.14,-12.63
2020-02-01,HT0111-03,HT0541-04,90,30,0.16,15.72
2020-02-01,HT0111-03,HT0541-05,60,60,1.73,47.77
2020-02-01,HT0111-03,HT0542-01,90,-70,-0.85,-25.46
2020-02-01,HT0111-03,HT0542-02,70,80,1.44,52.92
2020-02-01,HT0111-03,HT0542-03,270,60,0.2,8.76
2020-02-01,HT0111-03,HT0542-04,80,-70,-1.25,-26.52
2020-02-01,HT0111-03,HT0542-06,130,220,3.38,84.26
2020-02-01,HT0111-03,HT0544-01,70,-50,-0.61,-22.46
2020-02-01,HT0111-03,HT0551-01,70,-40,-0.66,-17.83
2020-02-01,HT0111-03,HT0551-03,90,50,0.44,22.12
2020-02-01,HT0111-03,HT0551-04,80,130,2.12,70.25
2020-02-01,HT0111-03,HT0551-06,70,80,1.29,42.46
2020-02-01,HT0111-03,HT0552-01,110,130,4.76,102.97
2020-02-01,HT0111-03,HT0611-01,320,550,3.05,126.57
2020-02-01,HT0111-03,HT0612-01,90,30,0.02,9.42
2020-02-01,HT0111-03,HT0621-01,150,170,2,59.43
2020-02-01,HT0111-03,HT0621-04,280,280,0.81,43.13
2020-02-01,HT0111-03,HT0623-02,60,10,-0.09,6.33
2020-02-01,HT0111-03,HT0623-03,70,50,0.99,32.16
2020-02-01,HT0111-03,HT0641-02,60,80,2.73,82.33
2020-02-01,HT0111-03,HT0642-01,90,80,1.53,48.44
2020-02-01,HT0111-03,HT0642-02,60,80,2.18,71.55
2020-02-01,HT0111-03,HT0711-01,220,150,4.42,90.11
2020-02-01,HT0111-03,HT0911-01,90,70,1.2,25.96
2020-02-01,HT0111-03,HT0911-03,70,-140,-0.9,-33.4
2020-02-01,HT0111-03,HT1011-01,80,-110,-0.63,-37.63
2020-02-01,HT0112-01,HT0111-01,42630,21290,2.5,79.45
2020-02-01,HT0112-01,HT0111-02,2170,-760,-0.28,-21.18
2020-02-01,HT0112-01,HT0111-03,4650,-3230,-0.97,-37.27
2020-02-01,HT0112-01,HT0113-02,110,0,0.02,-2.84
2020-02-01,HT0112-01,HT0113-03,60,10,0.03,11.79
2020-02-01,HT0112-01,HT0113-04,70,-20,-0.23,-22.03
2020-02-01,HT0112-01,HT0113-07,110,0,0.06,-0.19
2020-02-01,HT0112-01,HT0113-09,3160,1860,3.3,111.38
2020-02-01,HT0112-01,HT0113-10,3010,-1920,-0.55,-37.14
2020-02-01,HT0112-01,HT0113-11,3300,530,0.46,18.71
2020-02-01,HT0112-01,HT0114-01,1970,210,-0.25,14.28
2020-02-01,HT0112-01,HT0114-03,8490,4020,1.65,73.67
2020-02-01,HT0112-01,HT0114-04,410,40,0.35,5.58
